"","EVENT_DATE","COUNTRY","number"
"1",1997-10-10,"Benin",1
"2",1997-12-02,"Benin",1
"3",1998-02-19,"Benin",1
"4",1998-06-21,"Benin",1
"5",1998-08-01,"Benin",1
"6",1998-08-07,"Benin",1
"7",1999-06-06,"Benin",1
"8",1999-06-07,"Benin",1
"9",2000-05-05,"Benin",1
"10",2001-01-19,"Benin",1
"11",2001-08-15,"Benin",1
"12",2001-08-25,"Benin",1
"13",2002-04-25,"Benin",1
"14",2003-04-01,"Benin",1
"15",2003-05-15,"Benin",1
"16",2004-08-18,"Benin",1
"17",2004-09-06,"Benin",1
"18",2004-10-19,"Benin",1
"19",2005-07-07,"Benin",1
"20",2005-09-13,"Benin",1
"21",2006-06-17,"Benin",1
"22",2007-03-15,"Benin",1
"23",2007-05-13,"Benin",2
"24",2008-07-10,"Benin",1
"25",2009-07-21,"Benin",1
"26",2009-11-24,"Benin",1
"27",2010-02-14,"Benin",1
"28",2010-02-21,"Benin",1
"29",2010-03-22,"Benin",2
"30",2010-03-30,"Benin",1
"31",2010-10-01,"Benin",1
"32",2010-10-12,"Benin",1
"33",2010-10-19,"Benin",1
"34",2010-10-22,"Benin",1
"35",2011-03-03,"Benin",1
"36",2011-03-16,"Benin",1
"37",2011-03-24,"Benin",1
"38",2011-04-12,"Benin",1
"39",2011-07-24,"Benin",1
"40",2011-08-01,"Benin",1
"41",2011-09-13,"Benin",1
"42",2011-09-14,"Benin",1
"43",2011-09-27,"Benin",1
"44",2012-05-08,"Benin",1
"45",2012-05-14,"Benin",1
"46",2012-05-19,"Benin",1
"47",2012-08-11,"Benin",2
"48",2012-08-12,"Benin",2
"49",2012-08-16,"Benin",1
"50",2012-09-08,"Benin",1
"51",2012-09-10,"Benin",2
"52",2012-09-21,"Benin",4
"53",2013-07-17,"Benin",1
"54",2013-07-24,"Benin",1
"55",2013-07-31,"Benin",1
"56",2013-08-01,"Benin",2
"57",2013-08-02,"Benin",1
"58",2013-08-14,"Benin",1
"59",2013-11-04,"Benin",1
"60",2013-12-03,"Benin",1
"61",2013-12-09,"Benin",1
"62",2013-12-27,"Benin",1
"63",2014-01-07,"Benin",1
"64",2014-01-28,"Benin",1
"65",2014-02-24,"Benin",1
"66",2014-03-25,"Benin",1
"67",2014-09-23,"Benin",1
"68",2014-10-15,"Benin",1
"69",2014-10-28,"Benin",1
"70",2014-12-09,"Benin",1
"71",2014-12-10,"Benin",2
"72",2014-12-11,"Benin",1
"73",2015-01-27,"Benin",1
"74",2015-01-30,"Benin",1
"75",2015-02-02,"Benin",2
"76",2015-02-04,"Benin",1
"77",2015-03-02,"Benin",1
"78",2015-04-26,"Benin",1
"79",2015-04-27,"Benin",1
"80",2015-05-04,"Benin",1
"81",2015-05-06,"Benin",1
"82",2015-09-14,"Benin",1
"83",2015-11-17,"Benin",1
"84",2016-01-06,"Benin",1
"85",2016-03-15,"Benin",1
"86",2016-04-14,"Benin",1
"87",2016-05-24,"Benin",1
"88",2016-06-11,"Benin",1
"89",2016-06-28,"Benin",1
"90",2016-07-06,"Benin",1
"91",2016-07-09,"Benin",1
"92",2016-07-15,"Benin",1
"93",2016-08-01,"Benin",1
"94",2016-08-09,"Benin",1
"95",2016-10-13,"Benin",1
"96",2016-10-14,"Benin",1
"97",2016-10-20,"Benin",1
"98",2016-10-24,"Benin",1
"99",2016-11-08,"Benin",1
"100",2016-11-21,"Benin",1
"101",2016-11-22,"Benin",1
"102",2016-11-27,"Benin",1
"103",2016-12-06,"Benin",1
"104",2017-01-08,"Benin",1
"105",2017-01-09,"Benin",1
"106",2017-01-13,"Benin",1
"107",2017-01-17,"Benin",1
"108",2017-02-08,"Benin",1
"109",2017-03-16,"Benin",1
"110",2017-03-20,"Benin",1
"111",2017-03-21,"Benin",1
"112",2017-03-22,"Benin",1
"113",2017-03-23,"Benin",1
"114",2017-03-24,"Benin",1
"115",2017-03-27,"Benin",2
"116",2017-03-28,"Benin",1
"117",2017-03-30,"Benin",1
"118",2017-04-03,"Benin",1
"119",2017-04-06,"Benin",1
"120",2017-04-25,"Benin",1
"121",2017-05-01,"Benin",1
"122",2017-05-02,"Benin",1
"123",2017-05-08,"Benin",1
"124",2017-05-11,"Benin",1
"125",2017-05-15,"Benin",1
"126",2017-05-20,"Benin",1
"127",2017-06-08,"Benin",1
"128",2017-06-22,"Benin",1
"129",2017-08-30,"Benin",1
"130",2017-09-16,"Benin",1
"131",2017-09-26,"Benin",1
"132",2017-10-04,"Benin",1
"133",2017-10-10,"Benin",1
"134",2017-10-11,"Benin",1
"135",2017-10-13,"Benin",1
"136",2017-10-18,"Benin",1
"137",2017-10-20,"Benin",1
"138",2017-10-24,"Benin",1
"139",2017-11-03,"Benin",1
"140",2017-11-22,"Benin",1
"141",2017-11-27,"Benin",1
"142",2017-11-29,"Benin",1
"143",2017-12-05,"Benin",1
"144",2017-12-19,"Benin",1
"145",2017-12-27,"Benin",1
"146",2018-01-02,"Benin",1
"147",2018-01-08,"Benin",1
"148",2018-01-16,"Benin",1
"149",2018-01-18,"Benin",1
"150",2018-01-20,"Benin",1
"151",2018-01-29,"Benin",1
"152",2018-02-03,"Benin",1
"153",2018-02-11,"Benin",2
"154",2018-02-13,"Benin",1
"155",2018-02-14,"Benin",1
"156",2018-02-17,"Benin",1
"157",2018-02-22,"Benin",2
"158",2018-02-23,"Benin",1
"159",2018-03-02,"Benin",1
"160",2018-03-09,"Benin",1
"161",2018-03-12,"Benin",1
