"","EVENT_DATE","COUNTRY","number"
"1",1997-06-06,"Gambia",1
"2",1997-07-21,"Gambia",1
"3",1998-05-17,"Gambia",1
"4",1999-07-24,"Gambia",1
"5",1999-12-20,"Gambia",1
"6",1999-12-26,"Gambia",1
"7",1999-12-27,"Gambia",1
"8",2000-01-15,"Gambia",1
"9",2000-04-10,"Gambia",4
"10",2000-06-17,"Gambia",1
"11",2000-08-10,"Gambia",1
"12",2000-11-08,"Gambia",1
"13",2001-05-03,"Gambia",1
"14",2001-07-12,"Gambia",1
"15",2001-08-30,"Gambia",1
"16",2001-09-02,"Gambia",1
"17",2001-09-17,"Gambia",1
"18",2001-09-24,"Gambia",1
"19",2001-10-06,"Gambia",1
"20",2001-10-15,"Gambia",3
"21",2001-10-16,"Gambia",1
"22",2001-10-22,"Gambia",1
"23",2001-10-23,"Gambia",1
"24",2001-12-08,"Gambia",1
"25",2002-01-21,"Gambia",1
"26",2002-01-28,"Gambia",1
"27",2002-02-15,"Gambia",3
"28",2002-07-19,"Gambia",2
"29",2002-07-29,"Gambia",1
"30",2002-07-30,"Gambia",1
"31",2002-07-31,"Gambia",1
"32",2002-08-09,"Gambia",1
"33",2002-08-16,"Gambia",1
"34",2002-11-15,"Gambia",1
"35",2003-01-11,"Gambia",1
"36",2003-04-21,"Gambia",1
"37",2003-05-09,"Gambia",1
"38",2003-06-08,"Gambia",4
"39",2003-06-09,"Gambia",1
"40",2003-06-10,"Gambia",1
"41",2003-09-13,"Gambia",1
"42",2003-10-17,"Gambia",1
"43",2004-01-16,"Gambia",1
"44",2004-04-13,"Gambia",1
"45",2004-08-15,"Gambia",1
"46",2004-12-16,"Gambia",1
"47",2004-12-22,"Gambia",1
"48",2005-07-15,"Gambia",1
"49",2005-07-23,"Gambia",1
"50",2005-08-17,"Gambia",1
"51",2005-12-16,"Gambia",1
"52",2006-03-15,"Gambia",2
"53",2006-06-01,"Gambia",1
"54",2006-07-11,"Gambia",1
"55",2006-08-01,"Gambia",1
"56",2006-12-12,"Gambia",1
"57",2007-05-10,"Gambia",1
"58",2007-10-01,"Gambia",1
"59",2008-01-07,"Gambia",1
"60",2008-03-04,"Gambia",1
"61",2008-03-30,"Gambia",1
"62",2008-07-01,"Gambia",1
"63",2009-03-01,"Gambia",1
"64",2009-10-28,"Gambia",1
"65",2009-12-31,"Gambia",1
"66",2010-01-12,"Gambia",1
"67",2010-06-04,"Gambia",1
"68",2010-07-15,"Gambia",1
"69",2010-08-06,"Gambia",1
"70",2011-01-10,"Gambia",1
"71",2011-06-28,"Gambia",1
"72",2011-07-29,"Gambia",1
"73",2011-11-22,"Gambia",1
"74",2012-05-10,"Gambia",1
"75",2012-06-09,"Gambia",1
"76",2012-12-03,"Gambia",2
"77",2013-01-11,"Gambia",1
"78",2013-03-08,"Gambia",1
"79",2013-08-15,"Gambia",1
"80",2013-12-31,"Gambia",1
"81",2014-03-08,"Gambia",1
"82",2014-05-01,"Gambia",1
"83",2014-05-29,"Gambia",1
"84",2014-07-14,"Gambia",1
"85",2014-10-11,"Gambia",1
"86",2014-11-07,"Gambia",1
"87",2014-11-09,"Gambia",1
"88",2014-12-30,"Gambia",1
"89",2015-01-01,"Gambia",2
"90",2015-01-03,"Gambia",1
"91",2015-01-04,"Gambia",1
"92",2015-01-05,"Gambia",1
"93",2015-01-09,"Gambia",1
"94",2015-01-16,"Gambia",1
"95",2015-01-22,"Gambia",1
"96",2015-01-25,"Gambia",1
"97",2015-01-30,"Gambia",1
"98",2015-02-05,"Gambia",1
"99",2015-02-10,"Gambia",1
"100",2015-03-26,"Gambia",1
"101",2015-03-27,"Gambia",1
"102",2015-03-28,"Gambia",1
"103",2015-03-29,"Gambia",1
"104",2015-03-30,"Gambia",1
"105",2015-03-31,"Gambia",1
"106",2015-07-09,"Gambia",1
"107",2015-07-15,"Gambia",1
"108",2015-11-22,"Gambia",1
"109",2015-11-23,"Gambia",1
"110",2015-12-21,"Gambia",1
"111",2016-04-14,"Gambia",1
"112",2016-04-16,"Gambia",1
"113",2016-04-20,"Gambia",1
"114",2016-05-01,"Gambia",1
"115",2016-05-09,"Gambia",2
"116",2016-06-21,"Gambia",1
"117",2016-07-15,"Gambia",1
"118",2016-08-10,"Gambia",1
"119",2016-08-14,"Gambia",1
"120",2016-11-10,"Gambia",1
"121",2016-11-11,"Gambia",1
"122",2016-11-29,"Gambia",1
"123",2016-12-05,"Gambia",1
"124",2016-12-09,"Gambia",1
"125",2017-01-05,"Gambia",1
"126",2017-01-15,"Gambia",1
"127",2017-01-17,"Gambia",1
"128",2017-01-19,"Gambia",1
"129",2017-01-20,"Gambia",1
"130",2017-01-22,"Gambia",1
"131",2017-01-31,"Gambia",1
"132",2017-02-18,"Gambia",1
"133",2017-02-20,"Gambia",1
"134",2017-03-05,"Gambia",1
"135",2017-03-09,"Gambia",1
"136",2017-03-12,"Gambia",1
"137",2017-03-20,"Gambia",1
"138",2017-03-21,"Gambia",1
"139",2017-03-30,"Gambia",1
"140",2017-04-03,"Gambia",1
"141",2017-04-05,"Gambia",1
"142",2017-04-06,"Gambia",2
"143",2017-04-07,"Gambia",2
"144",2017-04-10,"Gambia",3
"145",2017-04-20,"Gambia",1
"146",2017-05-23,"Gambia",1
"147",2017-05-29,"Gambia",1
"148",2017-06-02,"Gambia",2
"149",2017-06-03,"Gambia",1
"150",2017-06-06,"Gambia",1
"151",2017-07-08,"Gambia",1
"152",2017-07-09,"Gambia",1
"153",2017-07-18,"Gambia",2
"154",2017-07-31,"Gambia",1
"155",2017-11-07,"Gambia",1
"156",2017-11-12,"Gambia",1
"157",2017-12-16,"Gambia",1
"158",2017-12-18,"Gambia",1
"159",2018-01-08,"Gambia",1
"160",2018-01-10,"Gambia",1
"161",2018-02-05,"Gambia",1
"162",2018-02-26,"Gambia",1
"163",2018-03-22,"Gambia",1
