"","EVENT_DATE","COUNTRY","number"
"1",1997-04-28,"Guinea-Bissau",2
"2",1997-05-15,"Guinea-Bissau",1
"3",1998-01-06,"Guinea-Bissau",2
"4",1998-06-07,"Guinea-Bissau",2
"5",1998-06-09,"Guinea-Bissau",2
"6",1998-06-10,"Guinea-Bissau",2
"7",1998-06-11,"Guinea-Bissau",2
"8",1998-06-12,"Guinea-Bissau",2
"9",1998-06-13,"Guinea-Bissau",2
"10",1998-06-14,"Guinea-Bissau",2
"11",1998-06-15,"Guinea-Bissau",2
"12",1998-06-16,"Guinea-Bissau",2
"13",1998-06-17,"Guinea-Bissau",2
"14",1998-06-18,"Guinea-Bissau",1
"15",1998-06-19,"Guinea-Bissau",2
"16",1998-06-20,"Guinea-Bissau",3
"17",1998-06-24,"Guinea-Bissau",2
"18",1998-06-25,"Guinea-Bissau",2
"19",1998-06-29,"Guinea-Bissau",2
"20",1998-07-02,"Guinea-Bissau",2
"21",1998-07-04,"Guinea-Bissau",2
"22",1998-07-05,"Guinea-Bissau",1
"23",1998-07-06,"Guinea-Bissau",2
"24",1998-07-07,"Guinea-Bissau",1
"25",1998-07-08,"Guinea-Bissau",1
"26",1998-07-09,"Guinea-Bissau",2
"27",1998-07-17,"Guinea-Bissau",1
"28",1998-07-21,"Guinea-Bissau",2
"29",1998-07-26,"Guinea-Bissau",1
"30",1998-07-28,"Guinea-Bissau",2
"31",1998-08-10,"Guinea-Bissau",1
"32",1998-10-14,"Guinea-Bissau",1
"33",1998-10-18,"Guinea-Bissau",1
"34",1998-10-19,"Guinea-Bissau",1
"35",1998-10-20,"Guinea-Bissau",2
"36",1998-10-21,"Guinea-Bissau",1
"37",1998-10-22,"Guinea-Bissau",3
"38",1998-10-23,"Guinea-Bissau",3
"39",1999-01-06,"Guinea-Bissau",1
"40",1999-01-07,"Guinea-Bissau",1
"41",1999-01-31,"Guinea-Bissau",1
"42",1999-02-01,"Guinea-Bissau",2
"43",1999-02-02,"Guinea-Bissau",1
"44",1999-02-03,"Guinea-Bissau",1
"45",1999-03-09,"Guinea-Bissau",1
"46",1999-04-15,"Guinea-Bissau",1
"47",1999-04-23,"Guinea-Bissau",1
"48",1999-05-06,"Guinea-Bissau",1
"49",1999-05-07,"Guinea-Bissau",2
"50",1999-05-08,"Guinea-Bissau",2
"51",1999-08-23,"Guinea-Bissau",1
"52",1999-11-03,"Guinea-Bissau",1
"53",1999-12-08,"Guinea-Bissau",1
"54",2000-01-05,"Guinea-Bissau",1
"55",2000-04-11,"Guinea-Bissau",2
"56",2000-04-25,"Guinea-Bissau",1
"57",2000-06-22,"Guinea-Bissau",1
"58",2000-11-15,"Guinea-Bissau",1
"59",2000-11-23,"Guinea-Bissau",1
"60",2000-11-30,"Guinea-Bissau",2
"61",2001-01-06,"Guinea-Bissau",1
"62",2001-03-05,"Guinea-Bissau",1
"63",2001-09-25,"Guinea-Bissau",1
"64",2002-05-22,"Guinea-Bissau",1
"65",2002-07-16,"Guinea-Bissau",1
"66",2002-08-25,"Guinea-Bissau",1
"67",2003-02-10,"Guinea-Bissau",1
"68",2003-03-18,"Guinea-Bissau",1
"69",2003-05-12,"Guinea-Bissau",1
"70",2003-09-26,"Guinea-Bissau",1
"71",2003-10-10,"Guinea-Bissau",1
"72",2004-02-09,"Guinea-Bissau",1
"73",2004-03-04,"Guinea-Bissau",1
"74",2004-03-28,"Guinea-Bissau",1
"75",2004-10-06,"Guinea-Bissau",1
"76",2005-05-14,"Guinea-Bissau",3
"77",2005-05-17,"Guinea-Bissau",6
"78",2005-05-22,"Guinea-Bissau",1
"79",2005-05-25,"Guinea-Bissau",1
"80",2005-06-24,"Guinea-Bissau",1
"81",2005-07-16,"Guinea-Bissau",1
"82",2006-03-16,"Guinea-Bissau",4
"83",2006-03-17,"Guinea-Bissau",3
"84",2006-03-18,"Guinea-Bissau",2
"85",2006-03-19,"Guinea-Bissau",1
"86",2006-03-20,"Guinea-Bissau",1
"87",2006-03-23,"Guinea-Bissau",1
"88",2006-03-24,"Guinea-Bissau",1
"89",2006-03-30,"Guinea-Bissau",1
"90",2006-04-08,"Guinea-Bissau",1
"91",2006-04-13,"Guinea-Bissau",2
"92",2006-04-20,"Guinea-Bissau",1
"93",2006-08-15,"Guinea-Bissau",1
"94",2006-12-05,"Guinea-Bissau",1
"95",2006-12-13,"Guinea-Bissau",1
"96",2007-01-06,"Guinea-Bissau",1
"97",2007-03-30,"Guinea-Bissau",1
"98",2008-04-13,"Guinea-Bissau",1
"99",2008-11-23,"Guinea-Bissau",1
"100",2009-01-04,"Guinea-Bissau",1
"101",2009-03-01,"Guinea-Bissau",1
"102",2009-03-02,"Guinea-Bissau",1
"103",2009-03-23,"Guinea-Bissau",1
"104",2009-04-01,"Guinea-Bissau",1
"105",2009-05-27,"Guinea-Bissau",1
"106",2009-06-05,"Guinea-Bissau",1
"107",2009-06-06,"Guinea-Bissau",1
