"","EVENT_DATE","COUNTRY","number"
"1",1997-03-10,"Ghana",1
"2",1997-10-30,"Ghana",1
"3",1997-11-13,"Ghana",1
"4",1997-12-04,"Ghana",1
"5",1997-12-10,"Ghana",1
"6",1998-01-14,"Ghana",1
"7",1998-05-29,"Ghana",1
"8",1998-10-01,"Ghana",1
"9",1998-10-19,"Ghana",1
"10",1999-09-13,"Ghana",1
"11",1999-11-25,"Ghana",1
"12",2000-04-20,"Ghana",1
"13",2000-05-29,"Ghana",1
"14",2000-07-25,"Ghana",1
"15",2000-11-07,"Ghana",2
"16",2000-11-13,"Ghana",1
"17",2000-12-04,"Ghana",1
"18",2000-12-08,"Ghana",1
"19",2000-12-09,"Ghana",1
"20",2000-12-27,"Ghana",1
"21",2001-03-24,"Ghana",1
"22",2001-04-01,"Ghana",1
"23",2001-05-09,"Ghana",1
"24",2001-05-13,"Ghana",2
"25",2001-10-23,"Ghana",1
"26",2001-10-25,"Ghana",1
"27",2001-12-02,"Ghana",1
"28",2002-01-07,"Ghana",1
"29",2002-03-05,"Ghana",1
"30",2002-03-16,"Ghana",1
"31",2002-03-25,"Ghana",1
"32",2002-03-26,"Ghana",1
"33",2002-03-27,"Ghana",1
"34",2002-06-15,"Ghana",1
"35",2003-01-30,"Ghana",3
"36",2003-02-10,"Ghana",2
"37",2003-02-15,"Ghana",1
"38",2003-02-16,"Ghana",1
"39",2003-02-21,"Ghana",1
"40",2003-03-03,"Ghana",1
"41",2003-03-04,"Ghana",1
"42",2003-03-25,"Ghana",1
"43",2003-04-12,"Ghana",1
"44",2003-04-20,"Ghana",1
"45",2003-07-13,"Ghana",1
"46",2003-08-24,"Ghana",1
"47",2003-09-10,"Ghana",1
"48",2003-11-02,"Ghana",1
"49",2004-07-15,"Ghana",1
"50",2004-10-08,"Ghana",1
"51",2004-11-08,"Ghana",1
"52",2004-11-25,"Ghana",1
"53",2004-11-27,"Ghana",1
"54",2004-12-05,"Ghana",1
"55",2004-12-06,"Ghana",1
"56",2005-02-01,"Ghana",1
"57",2005-03-12,"Ghana",1
"58",2005-08-24,"Ghana",1
"59",2006-08-26,"Ghana",1
"60",2006-11-08,"Ghana",1
"61",2006-11-09,"Ghana",1
"62",2007-09-14,"Ghana",1
"63",2007-09-15,"Ghana",1
"64",2007-09-16,"Ghana",1
"65",2007-10-30,"Ghana",1
"66",2007-12-30,"Ghana",1
"67",2008-01-22,"Ghana",1
"68",2008-03-09,"Ghana",1
"69",2008-05-02,"Ghana",1
"70",2008-05-23,"Ghana",1
"71",2008-06-19,"Ghana",1
"72",2008-06-23,"Ghana",1
"73",2008-07-30,"Ghana",1
"74",2008-08-29,"Ghana",1
"75",2008-08-31,"Ghana",1
"76",2008-12-07,"Ghana",1
"77",2008-12-29,"Ghana",1
"78",2009-03-01,"Ghana",1
"79",2009-05-31,"Ghana",1
"80",2009-06-15,"Ghana",1
"81",2009-07-13,"Ghana",2
"82",2009-08-03,"Ghana",2
"83",2009-08-06,"Ghana",1
"84",2009-08-25,"Ghana",1
"85",2009-09-05,"Ghana",1
"86",2009-09-06,"Ghana",1
"87",2009-10-03,"Ghana",1
"88",2009-11-01,"Ghana",1
"89",2009-11-05,"Ghana",1
"90",2009-11-20,"Ghana",1
"91",2009-12-12,"Ghana",1
"92",2009-12-20,"Ghana",1
"93",2010-01-29,"Ghana",1
"94",2010-03-07,"Ghana",1
"95",2010-03-22,"Ghana",1
"96",2010-04-01,"Ghana",1
"97",2010-06-04,"Ghana",1
"98",2010-06-08,"Ghana",1
"99",2010-06-09,"Ghana",3
"100",2010-09-07,"Ghana",2
"101",2010-11-17,"Ghana",1
"102",2010-11-29,"Ghana",1
"103",2011-02-09,"Ghana",1
"104",2011-04-02,"Ghana",1
"105",2011-04-05,"Ghana",1
"106",2011-04-27,"Ghana",1
"107",2011-07-21,"Ghana",1
"108",2011-08-02,"Ghana",1
"109",2011-08-20,"Ghana",1
"110",2011-08-24,"Ghana",1
"111",2011-08-28,"Ghana",1
"112",2011-09-22,"Ghana",1
"113",2012-01-10,"Ghana",1
"114",2012-04-02,"Ghana",1
"115",2012-04-10,"Ghana",1
"116",2012-04-15,"Ghana",1
"117",2012-05-23,"Ghana",1
"118",2012-06-03,"Ghana",1
"119",2012-06-05,"Ghana",1
"120",2012-06-06,"Ghana",2
"121",2012-06-07,"Ghana",1
"122",2012-06-10,"Ghana",2
"123",2012-06-11,"Ghana",3
"124",2012-06-20,"Ghana",1
"125",2012-07-02,"Ghana",1
"126",2012-07-04,"Ghana",1
"127",2012-07-11,"Ghana",1
"128",2012-07-12,"Ghana",1
"129",2012-07-20,"Ghana",1
"130",2012-07-21,"Ghana",1
"131",2012-07-23,"Ghana",1
"132",2012-08-10,"Ghana",1
"133",2012-08-19,"Ghana",1
"134",2012-08-21,"Ghana",1
"135",2012-08-25,"Ghana",1
"136",2012-08-27,"Ghana",1
"137",2012-08-29,"Ghana",1
"138",2012-09-15,"Ghana",1
"139",2012-10-13,"Ghana",1
"140",2012-10-21,"Ghana",1
"141",2012-10-25,"Ghana",1
"142",2012-11-19,"Ghana",1
"143",2012-11-21,"Ghana",1
"144",2012-11-25,"Ghana",1
"145",2012-12-08,"Ghana",1
"146",2012-12-10,"Ghana",1
"147",2012-12-11,"Ghana",1
"148",2012-12-12,"Ghana",1
"149",2012-12-13,"Ghana",1
"150",2012-12-17,"Ghana",1
"151",2012-12-27,"Ghana",2
"152",2012-12-29,"Ghana",1
"153",2013-01-07,"Ghana",1
"154",2013-01-10,"Ghana",1
"155",2013-02-27,"Ghana",1
"156",2013-03-06,"Ghana",2
"157",2013-03-10,"Ghana",1
"158",2013-03-11,"Ghana",1
"159",2013-03-20,"Ghana",1
"160",2013-03-24,"Ghana",1
"161",2013-03-28,"Ghana",1
"162",2013-04-01,"Ghana",1
"163",2013-04-12,"Ghana",1
"164",2013-05-02,"Ghana",1
"165",2013-05-05,"Ghana",1
"166",2013-05-08,"Ghana",1
"167",2013-05-15,"Ghana",1
"168",2013-05-19,"Ghana",1
"169",2013-05-27,"Ghana",1
"170",2013-05-31,"Ghana",2
"171",2013-06-17,"Ghana",1
"172",2013-06-20,"Ghana",1
"173",2013-06-21,"Ghana",1
"174",2013-06-23,"Ghana",1
"175",2013-06-24,"Ghana",3
"176",2013-06-26,"Ghana",3
"177",2013-06-27,"Ghana",2
"178",2013-07-01,"Ghana",1
"179",2013-07-02,"Ghana",1
"180",2013-07-12,"Ghana",1
"181",2013-09-12,"Ghana",1
"182",2013-10-01,"Ghana",1
"183",2013-10-03,"Ghana",1
"184",2013-10-04,"Ghana",1
"185",2013-10-08,"Ghana",1
"186",2013-10-09,"Ghana",2
"187",2013-10-17,"Ghana",1
"188",2013-10-26,"Ghana",1
