"","EVENT_DATE","COUNTRY","number"
"1",1997-01-19,"Ivory Coast",2
"2",1997-01-21,"Ivory Coast",2
"3",1997-03-06,"Ivory Coast",2
"4",1997-03-07,"Ivory Coast",1
"5",1997-03-08,"Ivory Coast",1
"6",1997-06-23,"Ivory Coast",2
"7",1997-08-21,"Ivory Coast",1
"8",1997-09-23,"Ivory Coast",1
"9",1997-11-02,"Ivory Coast",1
"10",1997-12-10,"Ivory Coast",1
"11",1998-05-14,"Ivory Coast",2
"12",1998-07-08,"Ivory Coast",1
"13",1998-07-15,"Ivory Coast",1
"14",1998-09-07,"Ivory Coast",1
"15",1998-09-10,"Ivory Coast",1
"16",1998-09-14,"Ivory Coast",2
"17",1998-09-16,"Ivory Coast",1
"18",1998-09-17,"Ivory Coast",1
"19",1998-09-21,"Ivory Coast",2
"20",1998-12-26,"Ivory Coast",3
"21",1999-04-01,"Ivory Coast",1
"22",1999-04-26,"Ivory Coast",4
"23",1999-05-03,"Ivory Coast",5
"24",1999-05-26,"Ivory Coast",3
"25",1999-05-27,"Ivory Coast",4
"26",1999-05-28,"Ivory Coast",2
"27",1999-06-01,"Ivory Coast",4
"28",1999-09-06,"Ivory Coast",1
"29",1999-09-16,"Ivory Coast",2
"30",1999-09-21,"Ivory Coast",1
"31",1999-09-27,"Ivory Coast",1
"32",1999-10-10,"Ivory Coast",1
"33",1999-10-16,"Ivory Coast",2
"34",1999-10-23,"Ivory Coast",1
"35",1999-10-27,"Ivory Coast",7
"36",1999-11-02,"Ivory Coast",2
"37",1999-11-04,"Ivory Coast",6
"38",1999-11-05,"Ivory Coast",1
"39",1999-11-06,"Ivory Coast",1
"40",1999-11-10,"Ivory Coast",3
"41",1999-11-22,"Ivory Coast",1
"42",1999-11-23,"Ivory Coast",1
"43",1999-11-24,"Ivory Coast",1
"44",1999-11-25,"Ivory Coast",1
"45",1999-11-26,"Ivory Coast",1
"46",1999-11-27,"Ivory Coast",1
"47",1999-11-28,"Ivory Coast",1
"48",1999-12-01,"Ivory Coast",5
"49",1999-12-18,"Ivory Coast",1
"50",1999-12-22,"Ivory Coast",1
"51",1999-12-23,"Ivory Coast",3
"52",1999-12-24,"Ivory Coast",1
"53",1999-12-25,"Ivory Coast",3
"54",2000-01-28,"Ivory Coast",1
