"","EVENT_DATE","COUNTRY","number"
"1",1997-01-06,"Mali",1
"2",1997-02-28,"Mali",1
"3",1997-04-16,"Mali",2
"4",1997-04-21,"Mali",1
"5",1997-05-06,"Mali",2
"6",1997-05-08,"Mali",1
"7",1997-05-25,"Mali",1
"8",1997-06-08,"Mali",1
"9",1997-06-19,"Mali",2
"10",1997-08-09,"Mali",1
"11",1997-09-20,"Mali",1
"12",1997-11-29,"Mali",1
"13",1998-03-17,"Mali",2
"14",1998-05-05,"Mali",1
"15",1998-11-01,"Mali",1
"16",1999-04-22,"Mali",1
"17",1999-06-20,"Mali",1
"18",1999-07-14,"Mali",2
"19",1999-07-16,"Mali",2
"20",1999-08-15,"Mali",1
"21",1999-08-16,"Mali",1
"22",1999-10-16,"Mali",1
"23",1999-10-17,"Mali",1
"24",2000-01-05,"Mali",1
"25",2000-03-01,"Mali",2
"26",2000-08-14,"Mali",1
"27",2000-12-18,"Mali",1
"28",2001-01-16,"Mali",1
"29",2001-04-23,"Mali",1
"30",2001-06-06,"Mali",1
"31",2001-06-15,"Mali",1
"32",2001-10-27,"Mali",1
"33",2001-12-30,"Mali",1
"34",2002-02-26,"Mali",1
"35",2002-08-16,"Mali",1
"36",2003-07-21,"Mali",1
"37",2003-08-25,"Mali",2
"38",2003-10-07,"Mali",1
"39",2004-02-03,"Mali",1
"40",2004-04-07,"Mali",1
"41",2004-04-12,"Mali",1
"42",2005-03-24,"Mali",1
"43",2005-06-26,"Mali",1
"44",2006-05-19,"Mali",1
"45",2006-05-20,"Mali",2
"46",2006-05-21,"Mali",3
"47",2006-06-19,"Mali",1
"48",2006-06-26,"Mali",1
"49",2006-09-28,"Mali",1
"50",2006-10-20,"Mali",1
"51",2007-02-18,"Mali",1
"52",2007-05-07,"Mali",1
"53",2007-08-23,"Mali",1
"54",2007-08-24,"Mali",1
"55",2007-08-27,"Mali",1
"56",2007-09-09,"Mali",1
"57",2007-09-10,"Mali",1
"58",2007-09-12,"Mali",1
"59",2007-09-23,"Mali",1
"60",2007-12-31,"Mali",2
"61",2008-03-17,"Mali",1
"62",2008-03-18,"Mali",1
"63",2008-03-22,"Mali",1
"64",2008-03-29,"Mali",1
"65",2008-04-09,"Mali",1
"66",2008-04-29,"Mali",1
"67",2008-05-02,"Mali",2
"68",2008-05-04,"Mali",1
"69",2008-05-16,"Mali",1
"70",2008-05-17,"Mali",1
"71",2008-05-29,"Mali",1
"72",2008-05-30,"Mali",1
"73",2008-05-31,"Mali",1
"74",2008-06-01,"Mali",1
"75",2008-07-15,"Mali",1
"76",2008-09-15,"Mali",1
"77",2008-10-09,"Mali",1
"78",2008-10-21,"Mali",1
"79",2008-12-16,"Mali",1
"80",2008-12-29,"Mali",1
"81",2009-01-17,"Mali",1
"82",2009-01-18,"Mali",2
"83",2009-01-19,"Mali",1
"84",2009-06-30,"Mali",1
"85",2009-07-11,"Mali",1
"86",2009-08-26,"Mali",1
"87",2009-09-29,"Mali",1
"88",2009-11-25,"Mali",1
"89",2009-12-31,"Mali",1
"90",2010-01-21,"Mali",1
"91",2010-02-22,"Mali",2
"92",2010-02-23,"Mali",1
"93",2010-02-26,"Mali",1
"94",2010-03-08,"Mali",1
"95",2010-07-22,"Mali",1
"96",2010-08-14,"Mali",1
"97",2010-09-17,"Mali",1
"98",2010-09-18,"Mali",1
"99",2010-09-19,"Mali",1
"100",2010-09-25,"Mali",2
"101",2010-10-14,"Mali",1
"102",2010-11-03,"Mali",1
"103",2010-12-09,"Mali",1
"104",2010-12-10,"Mali",1
"105",2010-12-29,"Mali",1
"106",2011-01-05,"Mali",1
"107",2011-01-16,"Mali",1
"108",2011-03-02,"Mali",1
"109",2011-03-08,"Mali",1
"110",2011-03-22,"Mali",1
"111",2011-04-21,"Mali",1
"112",2011-04-25,"Mali",1
"113",2011-06-19,"Mali",1
"114",2011-06-22,"Mali",1
"115",2011-06-25,"Mali",2
"116",2011-06-27,"Mali",1
"117",2011-06-28,"Mali",1
"118",2011-07-14,"Mali",1
"119",2011-07-21,"Mali",1
"120",2011-08-26,"Mali",1
"121",2011-09-12,"Mali",1
"122",2011-09-18,"Mali",1
"123",2011-09-27,"Mali",1
"124",2011-10-03,"Mali",1
"125",2011-10-20,"Mali",2
"126",2011-11-23,"Mali",1
"127",2011-11-25,"Mali",1
"128",2011-11-30,"Mali",1
"129",2011-12-08,"Mali",1
"130",2011-12-14,"Mali",1
"131",2011-12-15,"Mali",1
"132",2011-12-29,"Mali",1
"133",2012-01-12,"Mali",1
"134",2012-01-15,"Mali",1
"135",2012-01-16,"Mali",1
"136",2012-01-17,"Mali",1
"137",2012-01-18,"Mali",2
"138",2012-01-24,"Mali",2
