"","EVENT_DATE","COUNTRY","number"
"1",1997-03-11,"Mauritania",1
"2",1997-07-04,"Mauritania",2
"3",1997-10-30,"Mauritania",1
"4",1997-11-15,"Mauritania",1
"5",1998-12-22,"Mauritania",1
"6",1999-06-23,"Mauritania",1
"7",1999-11-01,"Mauritania",1
"8",1999-11-19,"Mauritania",1
"9",2000-04-26,"Mauritania",1
"10",2000-10-11,"Mauritania",1
"11",2000-10-12,"Mauritania",1
"12",2000-11-04,"Mauritania",1
"13",2001-04-14,"Mauritania",1
"14",2002-03-31,"Mauritania",1
"15",2002-04-02,"Mauritania",1
"16",2002-04-18,"Mauritania",1
"17",2003-03-07,"Mauritania",1
"18",2003-03-22,"Mauritania",1
"19",2003-06-06,"Mauritania",1
"20",2003-06-08,"Mauritania",1
"21",2003-06-09,"Mauritania",2
"22",2003-06-15,"Mauritania",1
"23",2003-07-16,"Mauritania",1
"24",2003-08-17,"Mauritania",1
"25",2003-11-02,"Mauritania",1
"26",2003-11-03,"Mauritania",1
"27",2003-11-05,"Mauritania",2
"28",2004-03-22,"Mauritania",1
"29",2004-11-16,"Mauritania",1
"30",2005-04-10,"Mauritania",1
"31",2005-04-23,"Mauritania",1
"32",2005-04-26,"Mauritania",1
"33",2005-05-03,"Mauritania",2
"34",2005-05-20,"Mauritania",1
"35",2005-06-04,"Mauritania",1
"36",2005-06-22,"Mauritania",1
"37",2005-08-01,"Mauritania",1
"38",2006-01-06,"Mauritania",1
"39",2006-07-02,"Mauritania",1
"40",2006-12-24,"Mauritania",1
"41",2007-03-13,"Mauritania",1
"42",2007-07-07,"Mauritania",1
"43",2007-11-20,"Mauritania",1
"44",2007-12-24,"Mauritania",1
"45",2007-12-25,"Mauritania",1
"46",2008-02-01,"Mauritania",2
"47",2008-02-26,"Mauritania",1
"48",2008-04-05,"Mauritania",1
"49",2008-04-06,"Mauritania",2
"50",2008-04-08,"Mauritania",1
"51",2008-04-09,"Mauritania",1
"52",2008-04-10,"Mauritania",1
"53",2008-04-11,"Mauritania",1
"54",2008-04-29,"Mauritania",1
"55",2008-08-04,"Mauritania",1
"56",2008-08-05,"Mauritania",1
"57",2008-09-15,"Mauritania",1
"58",2008-10-05,"Mauritania",1
"59",2008-12-30,"Mauritania",1
"60",2009-01-03,"Mauritania",1
"61",2009-01-08,"Mauritania",1
"62",2009-03-31,"Mauritania",1
"63",2009-04-15,"Mauritania",1
"64",2009-04-17,"Mauritania",1
"65",2009-06-19,"Mauritania",1
"66",2009-07-15,"Mauritania",1
"67",2009-09-12,"Mauritania",1
"68",2009-11-29,"Mauritania",1
"69",2009-12-18,"Mauritania",1
"70",2010-02-23,"Mauritania",1
"71",2010-02-26,"Mauritania",1
"72",2010-02-28,"Mauritania",1
"73",2010-03-19,"Mauritania",1
"74",2010-04-14,"Mauritania",1
"75",2010-06-04,"Mauritania",1
"76",2010-06-16,"Mauritania",1
"77",2010-08-25,"Mauritania",1
"78",2010-09-17,"Mauritania",1
"79",2010-11-07,"Mauritania",1
"80",2010-11-11,"Mauritania",1
"81",2010-12-08,"Mauritania",1
"82",2010-12-15,"Mauritania",1
"83",2010-12-19,"Mauritania",1
"84",2010-12-20,"Mauritania",1
"85",2011-02-01,"Mauritania",1
"86",2011-02-03,"Mauritania",1
"87",2011-02-04,"Mauritania",1
"88",2011-02-05,"Mauritania",1
"89",2011-02-11,"Mauritania",1
"90",2011-02-19,"Mauritania",1
"91",2011-02-25,"Mauritania",1
"92",2011-02-26,"Mauritania",1
"93",2011-03-05,"Mauritania",1
"94",2011-03-08,"Mauritania",1
"95",2011-03-25,"Mauritania",1
"96",2011-04-25,"Mauritania",1
"97",2011-04-26,"Mauritania",1
"98",2011-04-27,"Mauritania",1
"99",2011-05-01,"Mauritania",1
"100",2011-05-05,"Mauritania",1
"101",2011-05-08,"Mauritania",1
"102",2011-05-24,"Mauritania",1
"103",2011-05-30,"Mauritania",1
"104",2011-07-03,"Mauritania",1
"105",2011-07-05,"Mauritania",1
"106",2011-08-01,"Mauritania",1
"107",2011-08-04,"Mauritania",1
"108",2011-09-10,"Mauritania",1
"109",2011-09-24,"Mauritania",2
"110",2011-09-27,"Mauritania",1
"111",2011-09-29,"Mauritania",1
"112",2011-09-30,"Mauritania",1
"113",2011-11-28,"Mauritania",1
"114",2011-12-20,"Mauritania",1
"115",2012-02-06,"Mauritania",1
"116",2012-02-09,"Mauritania",1
"117",2012-03-06,"Mauritania",1
"118",2012-03-10,"Mauritania",1
"119",2012-03-12,"Mauritania",1
"120",2012-04-04,"Mauritania",1
"121",2012-04-18,"Mauritania",1
"122",2012-04-22,"Mauritania",1
"123",2012-04-27,"Mauritania",1
"124",2012-04-29,"Mauritania",1
"125",2012-05-03,"Mauritania",1
"126",2012-05-06,"Mauritania",1
"127",2012-05-07,"Mauritania",1
"128",2012-05-09,"Mauritania",2
"129",2012-05-10,"Mauritania",1
"130",2012-05-13,"Mauritania",2
"131",2012-05-15,"Mauritania",1
"132",2012-05-16,"Mauritania",1
"133",2012-05-18,"Mauritania",1
"134",2012-05-20,"Mauritania",1
"135",2012-05-23,"Mauritania",1
"136",2012-05-25,"Mauritania",1
"137",2012-05-26,"Mauritania",1
"138",2012-06-08,"Mauritania",1
"139",2012-06-09,"Mauritania",3
"140",2012-06-10,"Mauritania",2
"141",2012-06-11,"Mauritania",4
"142",2012-06-14,"Mauritania",2
"143",2012-06-20,"Mauritania",1
"144",2012-06-23,"Mauritania",1
"145",2012-06-25,"Mauritania",1
"146",2012-06-26,"Mauritania",2
"147",2012-07-01,"Mauritania",1
"148",2012-07-07,"Mauritania",2
"149",2012-07-10,"Mauritania",2
"150",2012-07-15,"Mauritania",1
"151",2012-07-19,"Mauritania",1
"152",2012-07-20,"Mauritania",1
"153",2012-07-22,"Mauritania",1
"154",2012-07-24,"Mauritania",1
"155",2012-08-06,"Mauritania",1
"156",2012-08-07,"Mauritania",1
"157",2012-08-21,"Mauritania",1
"158",2012-08-22,"Mauritania",1
"159",2012-08-26,"Mauritania",1
"160",2012-09-03,"Mauritania",1
"161",2012-09-10,"Mauritania",1
"162",2012-09-14,"Mauritania",1
"163",2012-09-21,"Mauritania",1
"164",2012-09-22,"Mauritania",1
"165",2012-10-01,"Mauritania",1
"166",2012-10-06,"Mauritania",1
"167",2012-10-07,"Mauritania",1
"168",2012-10-21,"Mauritania",1
"169",2012-10-27,"Mauritania",1
"170",2012-11-09,"Mauritania",1
"171",2012-11-10,"Mauritania",1
"172",2012-11-17,"Mauritania",2
"173",2012-11-21,"Mauritania",1
"174",2012-11-25,"Mauritania",1
"175",2012-11-27,"Mauritania",1
"176",2012-11-28,"Mauritania",1
"177",2012-12-16,"Mauritania",1
