"","EVENT_DATE","COUNTRY","number"
"1",1997-01-07,"Nigeria",1
"2",1997-01-08,"Nigeria",1
"3",1997-01-09,"Nigeria",1
"4",1997-01-10,"Nigeria",2
"5",1997-01-11,"Nigeria",1
"6",1997-01-12,"Nigeria",1
"7",1997-01-14,"Nigeria",1
"8",1997-01-15,"Nigeria",1
"9",1997-01-18,"Nigeria",3
"10",1997-01-25,"Nigeria",1
"11",1997-01-29,"Nigeria",1
"12",1997-02-04,"Nigeria",1
"13",1997-02-07,"Nigeria",1
"14",1997-02-08,"Nigeria",1
"15",1997-02-10,"Nigeria",3
"16",1997-02-12,"Nigeria",1
"17",1997-02-14,"Nigeria",1
"18",1997-02-16,"Nigeria",2
"19",1997-02-18,"Nigeria",1
"20",1997-02-21,"Nigeria",1
"21",1997-02-25,"Nigeria",2
"22",1997-03-09,"Nigeria",1
"23",1997-03-11,"Nigeria",1
"24",1997-03-12,"Nigeria",1
"25",1997-03-14,"Nigeria",1
"26",1997-03-15,"Nigeria",2
"27",1997-03-16,"Nigeria",2
"28",1997-03-22,"Nigeria",1
"29",1997-03-23,"Nigeria",2
"30",1997-03-25,"Nigeria",1
"31",1997-03-26,"Nigeria",3
"32",1997-03-28,"Nigeria",1
"33",1997-04-03,"Nigeria",1
"34",1997-04-04,"Nigeria",1
"35",1997-04-08,"Nigeria",1
"36",1997-04-09,"Nigeria",1
"37",1997-04-10,"Nigeria",1
"38",1997-04-16,"Nigeria",1
"39",1997-04-17,"Nigeria",1
"40",1997-04-18,"Nigeria",1
"41",1997-04-20,"Nigeria",1
"42",1997-04-21,"Nigeria",1
"43",1997-04-22,"Nigeria",2
"44",1997-04-23,"Nigeria",1
"45",1997-04-24,"Nigeria",1
"46",1997-04-25,"Nigeria",1
"47",1997-04-26,"Nigeria",1
"48",1997-04-28,"Nigeria",2
"49",1997-05-03,"Nigeria",1
"50",1997-05-04,"Nigeria",1
"51",1997-05-06,"Nigeria",1
"52",1997-05-07,"Nigeria",2
"53",1997-05-08,"Nigeria",1
"54",1997-05-10,"Nigeria",1
"55",1997-05-12,"Nigeria",1
"56",1997-05-15,"Nigeria",1
"57",1997-05-16,"Nigeria",1
"58",1997-05-31,"Nigeria",1
"59",1997-06-10,"Nigeria",1
"60",1997-06-15,"Nigeria",1
"61",1997-06-18,"Nigeria",1
"62",1997-06-24,"Nigeria",2
"63",1997-06-28,"Nigeria",1
