"","EVENT_DATE","COUNTRY","number"
"1",1997-01-01,"Sierra Leone",9
"2",1997-01-03,"Sierra Leone",4
"3",1997-01-08,"Sierra Leone",1
"4",1997-01-15,"Sierra Leone",19
"5",1997-01-21,"Sierra Leone",2
"6",1997-01-22,"Sierra Leone",1
"7",1997-01-23,"Sierra Leone",1
"8",1997-01-26,"Sierra Leone",2
"9",1997-01-29,"Sierra Leone",1
"10",1997-01-30,"Sierra Leone",1
"11",1997-01-31,"Sierra Leone",7
"12",1997-02-01,"Sierra Leone",2
"13",1997-02-15,"Sierra Leone",10
"14",1997-02-20,"Sierra Leone",1
"15",1997-02-28,"Sierra Leone",2
"16",1997-03-01,"Sierra Leone",3
"17",1997-03-07,"Sierra Leone",2
"18",1997-03-10,"Sierra Leone",1
"19",1997-03-14,"Sierra Leone",1
"20",1997-03-15,"Sierra Leone",35
"21",1997-03-21,"Sierra Leone",1
"22",1997-03-31,"Sierra Leone",3
"23",1997-04-01,"Sierra Leone",1
"24",1997-04-15,"Sierra Leone",12
"25",1997-04-23,"Sierra Leone",1
"26",1997-04-30,"Sierra Leone",1
"27",1997-05-01,"Sierra Leone",19
"28",1997-05-06,"Sierra Leone",1
"29",1997-05-07,"Sierra Leone",1
"30",1997-05-10,"Sierra Leone",4
"31",1997-05-11,"Sierra Leone",1
"32",1997-05-12,"Sierra Leone",1
"33",1997-05-13,"Sierra Leone",1
"34",1997-05-15,"Sierra Leone",62
"35",1997-05-18,"Sierra Leone",3
"36",1997-05-19,"Sierra Leone",1
"37",1997-05-20,"Sierra Leone",1
"38",1997-05-21,"Sierra Leone",1
"39",1997-05-24,"Sierra Leone",1
"40",1997-05-25,"Sierra Leone",6
"41",1997-05-26,"Sierra Leone",7
"42",1997-05-27,"Sierra Leone",11
"43",1997-05-28,"Sierra Leone",7
"44",1997-05-29,"Sierra Leone",1
"45",1997-05-30,"Sierra Leone",2
"46",1997-05-31,"Sierra Leone",22
"47",1997-06-01,"Sierra Leone",36
"48",1997-06-02,"Sierra Leone",5
"49",1997-06-03,"Sierra Leone",2
"50",1997-06-04,"Sierra Leone",1
"51",1997-06-05,"Sierra Leone",2
"52",1997-06-07,"Sierra Leone",8
"53",1997-06-09,"Sierra Leone",5
"54",1997-06-10,"Sierra Leone",4
"55",1997-06-11,"Sierra Leone",2
"56",1997-06-13,"Sierra Leone",2
"57",1997-06-14,"Sierra Leone",4
"58",1997-06-15,"Sierra Leone",93
"59",1997-06-16,"Sierra Leone",3
"60",1997-06-17,"Sierra Leone",1
"61",1997-06-19,"Sierra Leone",2
"62",1997-06-21,"Sierra Leone",5
"63",1997-06-25,"Sierra Leone",6
"64",1997-06-28,"Sierra Leone",10
"65",1997-06-30,"Sierra Leone",32
"66",1997-07-01,"Sierra Leone",18
"67",1997-07-06,"Sierra Leone",1
"68",1997-07-07,"Sierra Leone",1
"69",1997-07-11,"Sierra Leone",1
"70",1997-07-12,"Sierra Leone",4
"71",1997-07-13,"Sierra Leone",1
"72",1997-07-14,"Sierra Leone",2
"73",1997-07-15,"Sierra Leone",48
"74",1997-07-19,"Sierra Leone",1
"75",1997-07-21,"Sierra Leone",2
"76",1997-07-27,"Sierra Leone",4
"77",1997-07-29,"Sierra Leone",1
"78",1997-07-31,"Sierra Leone",13
"79",1997-08-01,"Sierra Leone",16
"80",1997-08-07,"Sierra Leone",2
"81",1997-08-10,"Sierra Leone",1
"82",1997-08-11,"Sierra Leone",1
"83",1997-08-13,"Sierra Leone",2
"84",1997-08-14,"Sierra Leone",3
"85",1997-08-15,"Sierra Leone",69
"86",1997-08-18,"Sierra Leone",2
"87",1997-08-19,"Sierra Leone",1
"88",1997-08-21,"Sierra Leone",2
"89",1997-08-23,"Sierra Leone",2
"90",1997-08-26,"Sierra Leone",1
"91",1997-08-29,"Sierra Leone",3
"92",1997-08-30,"Sierra Leone",3
"93",1997-08-31,"Sierra Leone",11
"94",1997-09-01,"Sierra Leone",9
"95",1997-09-03,"Sierra Leone",1
"96",1997-09-04,"Sierra Leone",1
"97",1997-09-07,"Sierra Leone",2
"98",1997-09-09,"Sierra Leone",1
"99",1997-09-13,"Sierra Leone",1
"100",1997-09-15,"Sierra Leone",35
"101",1997-09-17,"Sierra Leone",1
"102",1997-09-18,"Sierra Leone",1
"103",1997-09-19,"Sierra Leone",4
"104",1997-09-22,"Sierra Leone",1
"105",1997-09-30,"Sierra Leone",7
"106",1997-10-01,"Sierra Leone",9
"107",1997-10-07,"Sierra Leone",3
"108",1997-10-08,"Sierra Leone",5
"109",1997-10-09,"Sierra Leone",1
"110",1997-10-10,"Sierra Leone",2
"111",1997-10-11,"Sierra Leone",5
"112",1997-10-13,"Sierra Leone",2
"113",1997-10-14,"Sierra Leone",4
"114",1997-10-15,"Sierra Leone",35
"115",1997-10-19,"Sierra Leone",1
"116",1997-10-21,"Sierra Leone",3
"117",1997-10-25,"Sierra Leone",1
"118",1997-10-31,"Sierra Leone",9
"119",1997-11-01,"Sierra Leone",7
"120",1997-11-07,"Sierra Leone",2
"121",1997-11-10,"Sierra Leone",1
"122",1997-11-14,"Sierra Leone",2
"123",1997-11-15,"Sierra Leone",27
"124",1997-11-21,"Sierra Leone",2
"125",1997-11-30,"Sierra Leone",7
"126",1997-12-01,"Sierra Leone",16
"127",1997-12-07,"Sierra Leone",4
"128",1997-12-10,"Sierra Leone",1
"129",1997-12-14,"Sierra Leone",1
"130",1997-12-15,"Sierra Leone",52
"131",1997-12-16,"Sierra Leone",4
"132",1997-12-20,"Sierra Leone",1
"133",1997-12-21,"Sierra Leone",2
"134",1997-12-23,"Sierra Leone",8
"135",1997-12-25,"Sierra Leone",1
"136",1997-12-26,"Sierra Leone",2
"137",1997-12-27,"Sierra Leone",5
"138",1997-12-30,"Sierra Leone",2
"139",1997-12-31,"Sierra Leone",12
"140",1998-01-01,"Sierra Leone",15
"141",1998-01-05,"Sierra Leone",6
"142",1998-01-06,"Sierra Leone",1
"143",1998-01-08,"Sierra Leone",2
"144",1998-01-12,"Sierra Leone",12
"145",1998-01-13,"Sierra Leone",2
"146",1998-01-15,"Sierra Leone",59
"147",1998-01-23,"Sierra Leone",1
"148",1998-01-31,"Sierra Leone",11
"149",1998-02-01,"Sierra Leone",33
"150",1998-02-02,"Sierra Leone",3
"151",1998-02-04,"Sierra Leone",1
"152",1998-02-06,"Sierra Leone",26
"153",1998-02-07,"Sierra Leone",5
"154",1998-02-08,"Sierra Leone",4
"155",1998-02-09,"Sierra Leone",3
"156",1998-02-10,"Sierra Leone",3
"157",1998-02-11,"Sierra Leone",4
"158",1998-02-12,"Sierra Leone",8
"159",1998-02-13,"Sierra Leone",8
"160",1998-02-14,"Sierra Leone",27
"161",1998-02-15,"Sierra Leone",122
"162",1998-02-16,"Sierra Leone",4
"163",1998-02-17,"Sierra Leone",2
"164",1998-02-18,"Sierra Leone",14
"165",1998-02-19,"Sierra Leone",10
"166",1998-02-20,"Sierra Leone",3
"167",1998-02-21,"Sierra Leone",13
"168",1998-02-22,"Sierra Leone",2
"169",1998-02-23,"Sierra Leone",4
"170",1998-02-24,"Sierra Leone",2
"171",1998-02-25,"Sierra Leone",4
"172",1998-02-27,"Sierra Leone",2
"173",1998-02-28,"Sierra Leone",28
"174",1998-03-01,"Sierra Leone",49
"175",1998-03-02,"Sierra Leone",7
"176",1998-03-03,"Sierra Leone",6
"177",1998-03-04,"Sierra Leone",2
"178",1998-03-05,"Sierra Leone",9
"179",1998-03-06,"Sierra Leone",4
"180",1998-03-07,"Sierra Leone",8
"181",1998-03-08,"Sierra Leone",2
"182",1998-03-10,"Sierra Leone",5
"183",1998-03-11,"Sierra Leone",2
"184",1998-03-12,"Sierra Leone",3
"185",1998-03-13,"Sierra Leone",10
"186",1998-03-14,"Sierra Leone",6
"187",1998-03-15,"Sierra Leone",93
"188",1998-03-16,"Sierra Leone",9
"189",1998-03-17,"Sierra Leone",10
"190",1998-03-18,"Sierra Leone",1
"191",1998-03-19,"Sierra Leone",4
"192",1998-03-20,"Sierra Leone",1
"193",1998-03-21,"Sierra Leone",7
"194",1998-03-22,"Sierra Leone",9
"195",1998-03-23,"Sierra Leone",2
"196",1998-03-24,"Sierra Leone",8
"197",1998-03-25,"Sierra Leone",6
"198",1998-03-26,"Sierra Leone",1
"199",1998-03-27,"Sierra Leone",15
"200",1998-03-28,"Sierra Leone",1
"201",1998-03-29,"Sierra Leone",3
"202",1998-03-30,"Sierra Leone",3
"203",1998-03-31,"Sierra Leone",32
"204",1998-04-01,"Sierra Leone",17
"205",1998-04-03,"Sierra Leone",1
"206",1998-04-04,"Sierra Leone",1
"207",1998-04-06,"Sierra Leone",1
"208",1998-04-07,"Sierra Leone",5
"209",1998-04-08,"Sierra Leone",1
"210",1998-04-10,"Sierra Leone",1
"211",1998-04-11,"Sierra Leone",2
"212",1998-04-12,"Sierra Leone",1
"213",1998-04-13,"Sierra Leone",13
"214",1998-04-14,"Sierra Leone",3
"215",1998-04-15,"Sierra Leone",50
"216",1998-04-16,"Sierra Leone",1
"217",1998-04-17,"Sierra Leone",2
"218",1998-04-19,"Sierra Leone",4
"219",1998-04-21,"Sierra Leone",3
"220",1998-04-22,"Sierra Leone",1
"221",1998-04-25,"Sierra Leone",9
"222",1998-04-26,"Sierra Leone",1
"223",1998-04-27,"Sierra Leone",3
"224",1998-04-28,"Sierra Leone",1
"225",1998-04-29,"Sierra Leone",1
"226",1998-04-30,"Sierra Leone",16
"227",1998-05-01,"Sierra Leone",15
"228",1998-05-03,"Sierra Leone",9
"229",1998-05-04,"Sierra Leone",4
"230",1998-05-05,"Sierra Leone",2
"231",1998-05-06,"Sierra Leone",3
"232",1998-05-08,"Sierra Leone",1
"233",1998-05-09,"Sierra Leone",2
"234",1998-05-10,"Sierra Leone",5
"235",1998-05-12,"Sierra Leone",2
"236",1998-05-15,"Sierra Leone",25
"237",1998-05-17,"Sierra Leone",8
"238",1998-05-18,"Sierra Leone",11
"239",1998-05-20,"Sierra Leone",15
"240",1998-05-22,"Sierra Leone",7
"241",1998-05-23,"Sierra Leone",2
"242",1998-05-25,"Sierra Leone",3
"243",1998-05-30,"Sierra Leone",1
"244",1998-05-31,"Sierra Leone",5
"245",1998-06-01,"Sierra Leone",14
"246",1998-06-02,"Sierra Leone",2
"247",1998-06-03,"Sierra Leone",2
"248",1998-06-04,"Sierra Leone",2
"249",1998-06-06,"Sierra Leone",3
"250",1998-06-07,"Sierra Leone",3
"251",1998-06-08,"Sierra Leone",2
"252",1998-06-09,"Sierra Leone",3
"253",1998-06-10,"Sierra Leone",1
"254",1998-06-13,"Sierra Leone",1
"255",1998-06-14,"Sierra Leone",2
"256",1998-06-15,"Sierra Leone",48
"257",1998-06-19,"Sierra Leone",1
"258",1998-06-21,"Sierra Leone",2
"259",1998-06-22,"Sierra Leone",1
"260",1998-06-25,"Sierra Leone",1
"261",1998-06-30,"Sierra Leone",21
"262",1998-07-01,"Sierra Leone",3
"263",1998-07-10,"Sierra Leone",3
"264",1998-07-15,"Sierra Leone",16
"265",1998-07-17,"Sierra Leone",2
"266",1998-07-23,"Sierra Leone",2
"267",1998-07-26,"Sierra Leone",4
"268",1998-07-27,"Sierra Leone",1
"269",1998-07-28,"Sierra Leone",1
"270",1998-07-29,"Sierra Leone",1
"271",1998-07-31,"Sierra Leone",3
"272",1998-08-01,"Sierra Leone",2
"273",1998-08-02,"Sierra Leone",9
"274",1998-08-15,"Sierra Leone",9
"275",1998-08-24,"Sierra Leone",2
"276",1998-08-25,"Sierra Leone",1
"277",1998-08-27,"Sierra Leone",1
"278",1998-08-29,"Sierra Leone",1
"279",1998-08-31,"Sierra Leone",8
"280",1998-09-01,"Sierra Leone",3
"281",1998-09-05,"Sierra Leone",2
"282",1998-09-06,"Sierra Leone",9
"283",1998-09-07,"Sierra Leone",2
"284",1998-09-08,"Sierra Leone",3
"285",1998-09-11,"Sierra Leone",2
"286",1998-09-12,"Sierra Leone",7
"287",1998-09-13,"Sierra Leone",1
"288",1998-09-15,"Sierra Leone",12
"289",1998-09-16,"Sierra Leone",5
"290",1998-09-18,"Sierra Leone",4
"291",1998-09-19,"Sierra Leone",1
"292",1998-09-22,"Sierra Leone",5
"293",1998-09-23,"Sierra Leone",3
"294",1998-09-25,"Sierra Leone",1
"295",1998-09-28,"Sierra Leone",2
"296",1998-09-30,"Sierra Leone",2
"297",1998-10-01,"Sierra Leone",14
"298",1998-10-02,"Sierra Leone",1
"299",1998-10-05,"Sierra Leone",1
"300",1998-10-07,"Sierra Leone",3
"301",1998-10-08,"Sierra Leone",4
"302",1998-10-09,"Sierra Leone",1
"303",1998-10-11,"Sierra Leone",4
"304",1998-10-12,"Sierra Leone",1
"305",1998-10-13,"Sierra Leone",2
"306",1998-10-14,"Sierra Leone",1
"307",1998-10-15,"Sierra Leone",28
"308",1998-10-16,"Sierra Leone",7
"309",1998-10-17,"Sierra Leone",3
"310",1998-10-19,"Sierra Leone",1
"311",1998-10-21,"Sierra Leone",4
"312",1998-10-22,"Sierra Leone",4
"313",1998-10-24,"Sierra Leone",1
"314",1998-10-25,"Sierra Leone",1
