"","EVENT_DATE","COUNTRY","number"
"1",1997-03-13,"Senegal",2
"2",1997-03-17,"Senegal",1
"3",1997-03-18,"Senegal",2
"4",1997-03-23,"Senegal",1
"5",1997-03-27,"Senegal",1
"6",1997-04-28,"Senegal",1
"7",1997-07-11,"Senegal",1
"8",1997-07-15,"Senegal",1
"9",1997-07-17,"Senegal",1
"10",1997-08-03,"Senegal",1
"11",1997-08-19,"Senegal",2
"12",1997-08-30,"Senegal",2
"13",1997-09-03,"Senegal",1
"14",1997-09-04,"Senegal",1
"15",1997-09-05,"Senegal",2
"16",1997-09-06,"Senegal",1
"17",1997-09-07,"Senegal",3
"18",1997-09-08,"Senegal",1
"19",1997-09-12,"Senegal",2
"20",1997-09-13,"Senegal",1
"21",1997-09-19,"Senegal",1
"22",1997-09-22,"Senegal",1
"23",1997-09-27,"Senegal",1
"24",1997-10-04,"Senegal",1
"25",1997-10-05,"Senegal",3
"26",1997-10-13,"Senegal",1
"27",1997-10-23,"Senegal",1
"28",1997-10-29,"Senegal",1
"29",1997-10-30,"Senegal",1
"30",1997-11-06,"Senegal",1
"31",1997-11-11,"Senegal",1
"32",1997-11-12,"Senegal",1
"33",1997-11-13,"Senegal",1
"34",1997-11-20,"Senegal",1
"35",1997-11-21,"Senegal",1
"36",1997-11-25,"Senegal",1
"37",1997-11-27,"Senegal",2
"38",1997-12-16,"Senegal",1
"39",1997-12-20,"Senegal",1
"40",1997-12-23,"Senegal",1
"41",1997-12-26,"Senegal",1
"42",1998-01-08,"Senegal",2
"43",1998-01-15,"Senegal",1
"44",1998-02-15,"Senegal",1
"45",1998-02-17,"Senegal",3
"46",1998-02-21,"Senegal",1
"47",1998-03-06,"Senegal",1
"48",1998-04-09,"Senegal",1
"49",1998-04-10,"Senegal",2
"50",1998-04-11,"Senegal",2
"51",1998-04-12,"Senegal",1
"52",1998-04-20,"Senegal",1
"53",1998-04-21,"Senegal",1
"54",1998-04-23,"Senegal",2
"55",1998-04-27,"Senegal",1
"56",1998-05-05,"Senegal",1
"57",1998-06-15,"Senegal",1
"58",1998-06-16,"Senegal",2
"59",1998-06-17,"Senegal",1
"60",1998-08-07,"Senegal",1
"61",1998-10-01,"Senegal",1
"62",1998-10-12,"Senegal",1
"63",1998-10-17,"Senegal",1
"64",1998-10-19,"Senegal",2
"65",1998-11-02,"Senegal",2
"66",1998-11-16,"Senegal",1
"67",1999-02-24,"Senegal",1
"68",1999-03-02,"Senegal",1
"69",1999-03-27,"Senegal",1
"70",1999-04-06,"Senegal",1
"71",1999-04-08,"Senegal",1
"72",1999-04-29,"Senegal",3
"73",1999-04-30,"Senegal",2
"74",1999-05-02,"Senegal",1
"75",1999-05-03,"Senegal",3
"76",1999-05-29,"Senegal",1
"77",1999-05-30,"Senegal",1
"78",1999-05-31,"Senegal",1
"79",1999-06-01,"Senegal",1
"80",1999-06-02,"Senegal",1
"81",1999-06-23,"Senegal",1
"82",1999-06-28,"Senegal",1
"83",1999-06-30,"Senegal",1
"84",1999-07-29,"Senegal",1
"85",1999-08-12,"Senegal",1
"86",1999-08-16,"Senegal",1
"87",1999-09-03,"Senegal",1
"88",1999-09-20,"Senegal",2
"89",1999-10-28,"Senegal",1
"90",1999-12-02,"Senegal",2
"91",1999-12-20,"Senegal",1
"92",1999-12-26,"Senegal",1
"93",2000-02-16,"Senegal",2
"94",2000-02-18,"Senegal",1
"95",2000-02-19,"Senegal",2
"96",2000-02-20,"Senegal",4
"97",2000-02-22,"Senegal",1
"98",2000-02-23,"Senegal",2
"99",2000-02-24,"Senegal",1
