"","EVENT_DATE","COUNTRY","number"
"1",1997-01-19,"Togo",1
"2",1997-02-22,"Togo",1
"3",1997-04-13,"Togo",1
"4",1997-06-15,"Togo",1
"5",1997-09-20,"Togo",1
"6",1997-09-21,"Togo",1
"7",1997-10-26,"Togo",1
"8",1997-11-09,"Togo",1
"9",1997-11-15,"Togo",1
"10",1998-01-15,"Togo",1
"11",1998-03-15,"Togo",1
"12",1998-06-15,"Togo",1
"13",1998-06-21,"Togo",1
"14",1998-06-24,"Togo",2
"15",1998-06-25,"Togo",2
"16",1998-06-26,"Togo",2
"17",1998-07-15,"Togo",1
"18",1998-08-16,"Togo",1
"19",1998-08-20,"Togo",1
"20",1999-01-23,"Togo",1
"21",1999-01-24,"Togo",1
"22",1999-04-27,"Togo",1
"23",2000-03-01,"Togo",1
"24",2000-03-06,"Togo",1
"25",2000-03-27,"Togo",2
"26",2001-02-24,"Togo",1
"27",2001-06-02,"Togo",1
"28",2001-08-11,"Togo",1
"29",2001-08-18,"Togo",1
"30",2002-02-16,"Togo",1
"31",2002-02-25,"Togo",1
"32",2002-11-09,"Togo",1
"33",2003-02-09,"Togo",1
"34",2003-05-07,"Togo",1
"35",2003-06-03,"Togo",1
"36",2003-10-03,"Togo",1
"37",2004-04-28,"Togo",1
"38",2004-04-29,"Togo",1
"39",2004-04-30,"Togo",1
"40",2005-02-11,"Togo",2
"41",2005-02-12,"Togo",1
"42",2005-02-14,"Togo",1
"43",2005-02-18,"Togo",1
"44",2005-02-19,"Togo",1
"45",2005-02-26,"Togo",1
"46",2005-02-27,"Togo",1
"47",2005-03-26,"Togo",1
"48",2005-03-29,"Togo",1
"49",2005-04-02,"Togo",1
"50",2005-04-07,"Togo",1
"51",2005-04-08,"Togo",1
"52",2005-04-10,"Togo",1
"53",2005-04-16,"Togo",1
"54",2005-04-17,"Togo",1
"55",2005-04-18,"Togo",1
"56",2005-04-19,"Togo",1
"57",2005-04-24,"Togo",1
"58",2005-04-25,"Togo",1
"59",2005-04-26,"Togo",1
"60",2005-04-27,"Togo",1
"61",2005-04-28,"Togo",1
"62",2005-04-29,"Togo",1
"63",2005-04-30,"Togo",1
"64",2006-02-26,"Togo",1
"65",2007-10-14,"Togo",1
"66",2008-07-07,"Togo",1
"67",2008-08-16,"Togo",1
"68",2009-04-12,"Togo",1
"69",2009-06-30,"Togo",1
"70",2009-09-21,"Togo",1
"71",2009-09-26,"Togo",1
"72",2010-03-06,"Togo",1
"73",2010-03-07,"Togo",1
"74",2010-03-08,"Togo",1
"75",2010-03-09,"Togo",1
"76",2010-03-13,"Togo",2
"77",2010-03-20,"Togo",1
"78",2010-03-24,"Togo",1
"79",2010-04-03,"Togo",1
"80",2010-04-10,"Togo",1
"81",2010-04-21,"Togo",1
"82",2010-05-29,"Togo",2
"83",2010-08-10,"Togo",1
"84",2010-09-01,"Togo",1
"85",2010-09-28,"Togo",1
"86",2010-10-09,"Togo",1
"87",2010-11-27,"Togo",1
"88",2011-03-17,"Togo",1
"89",2011-05-25,"Togo",1
"90",2011-05-26,"Togo",1
"91",2011-06-14,"Togo",1
"92",2011-06-15,"Togo",1
"93",2011-06-17,"Togo",2
"94",2011-08-06,"Togo",1
"95",2011-09-13,"Togo",1
"96",2011-11-09,"Togo",1
"97",2011-11-22,"Togo",1
"98",2011-12-08,"Togo",2
"99",2012-04-27,"Togo",2
"100",2012-05-12,"Togo",1
"101",2012-06-06,"Togo",1
"102",2012-06-11,"Togo",1
"103",2012-06-12,"Togo",1
"104",2012-06-13,"Togo",1
"105",2012-06-14,"Togo",1
"106",2012-06-15,"Togo",1
"107",2012-06-19,"Togo",1
"108",2012-07-21,"Togo",1
"109",2012-07-22,"Togo",1
"110",2012-07-25,"Togo",1
"111",2012-07-28,"Togo",1
"112",2012-09-15,"Togo",1
"113",2012-09-20,"Togo",1
"114",2012-09-25,"Togo",1
"115",2012-09-26,"Togo",1
"116",2012-09-27,"Togo",1
"117",2012-10-05,"Togo",1
"118",2013-01-10,"Togo",2
"119",2013-01-11,"Togo",1
"120",2013-01-12,"Togo",2
"121",2013-01-16,"Togo",1
"122",2013-01-19,"Togo",1
"123",2013-03-14,"Togo",1
"124",2013-03-21,"Togo",1
"125",2013-04-03,"Togo",1
"126",2013-04-04,"Togo",1
"127",2013-04-10,"Togo",1
"128",2013-04-11,"Togo",1
"129",2013-04-12,"Togo",1
"130",2013-04-15,"Togo",1
"131",2013-04-29,"Togo",1
"132",2013-05-01,"Togo",1
"133",2013-05-02,"Togo",1
"134",2013-05-03,"Togo",1
"135",2013-05-11,"Togo",1
"136",2013-05-15,"Togo",1
"137",2013-05-18,"Togo",1
"138",2013-05-21,"Togo",1
"139",2013-05-23,"Togo",1
"140",2013-06-07,"Togo",1
"141",2013-07-15,"Togo",1
"142",2013-07-25,"Togo",1
"143",2013-08-09,"Togo",1
"144",2013-11-28,"Togo",5
"145",2013-11-29,"Togo",6
"146",2013-12-04,"Togo",1
"147",2013-12-05,"Togo",2
"148",2013-12-06,"Togo",1
"149",2013-12-22,"Togo",1
"150",2013-12-23,"Togo",1
"151",2013-12-26,"Togo",2
"152",2013-12-27,"Togo",2
"153",2013-12-28,"Togo",2
"154",2013-12-29,"Togo",2
"155",2013-12-30,"Togo",2
"156",2013-12-31,"Togo",2
"157",2014-01-04,"Togo",1
"158",2014-01-16,"Togo",1
"159",2014-02-07,"Togo",1
"160",2014-02-13,"Togo",1
"161",2014-02-14,"Togo",1
"162",2014-05-01,"Togo",1
"163",2014-07-22,"Togo",1
"164",2014-10-15,"Togo",1
"165",2014-11-21,"Togo",1
"166",2014-11-28,"Togo",1
"167",2014-12-12,"Togo",4
"168",2015-01-08,"Togo",1
"169",2015-02-11,"Togo",1
"170",2015-02-17,"Togo",1
"171",2015-03-12,"Togo",1
"172",2015-03-15,"Togo",1
"173",2015-03-16,"Togo",6
"174",2015-03-23,"Togo",1
"175",2015-03-25,"Togo",1
"176",2015-05-13,"Togo",1
"177",2015-05-22,"Togo",1
"178",2015-11-06,"Togo",1
"179",2015-11-07,"Togo",2
"180",2015-11-08,"Togo",1
"181",2015-11-15,"Togo",1
"182",2015-11-26,"Togo",1
"183",2015-11-27,"Togo",1
"184",2016-01-13,"Togo",1
"185",2016-01-20,"Togo",1
"186",2016-01-21,"Togo",1
"187",2016-04-04,"Togo",1
"188",2016-05-22,"Togo",1
"189",2016-06-15,"Togo",1
"190",2016-08-22,"Togo",1
"191",2016-12-05,"Togo",1
"192",2016-12-07,"Togo",1
"193",2016-12-14,"Togo",1
"194",2017-01-09,"Togo",1
"195",2017-02-14,"Togo",1
"196",2017-02-15,"Togo",1
"197",2017-02-16,"Togo",1
"198",2017-02-22,"Togo",1
"199",2017-02-25,"Togo",1
"200",2017-02-28,"Togo",1
"201",2017-03-11,"Togo",1
"202",2017-03-13,"Togo",1
"203",2017-03-15,"Togo",1
"204",2017-05-05,"Togo",1
"205",2017-05-22,"Togo",1
"206",2017-06-07,"Togo",1
"207",2017-06-14,"Togo",2
"208",2017-06-15,"Togo",1
"209",2017-06-16,"Togo",1
"210",2017-06-20,"Togo",1
"211",2017-08-03,"Togo",1
"212",2017-08-19,"Togo",5
"213",2017-08-25,"Togo",1
"214",2017-08-29,"Togo",1
"215",2017-09-06,"Togo",1
"216",2017-09-07,"Togo",1
"217",2017-09-12,"Togo",1
"218",2017-09-20,"Togo",5
"219",2017-09-21,"Togo",1
"220",2017-09-29,"Togo",1
"221",2017-10-04,"Togo",1
"222",2017-10-05,"Togo",4
"223",2017-10-16,"Togo",2
"224",2017-10-18,"Togo",2
"225",2017-10-19,"Togo",1
"226",2017-10-20,"Togo",1
"227",2017-11-07,"Togo",2
"228",2017-11-08,"Togo",1
"229",2017-11-09,"Togo",2
"230",2017-11-16,"Togo",1
"231",2017-11-17,"Togo",1
"232",2017-11-29,"Togo",1
"233",2017-11-30,"Togo",1
"234",2017-12-02,"Togo",1
"235",2017-12-13,"Togo",1
"236",2017-12-14,"Togo",1
"237",2017-12-16,"Togo",1
"238",2017-12-27,"Togo",1
"239",2017-12-28,"Togo",1
"240",2017-12-30,"Togo",1
"241",2018-01-20,"Togo",1
"242",2018-01-31,"Togo",2
"243",2018-02-03,"Togo",1
"244",2018-02-28,"Togo",1
"245",2018-03-06,"Togo",1
"246",2018-03-12,"Togo",1
"247",2018-03-13,"Togo",2
"248",2018-03-26,"Togo",1
"249",2018-04-05,"Togo",1
"250",2018-04-11,"Togo",2
"251",2018-04-14,"Togo",2
