"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",14,48,7,1,3,7,4,1,2,4,1,1,1,1,1
"2",14,15,4,4,5,1,4,2,1,1,1,1,1,1,1
"3",16,46,1,1,1,3,2,1,2,3,1,1,1,1,3
"4",18,15,2,1,8,5,1,1,32,10,1,2,1,1,4
"5",11,153,7,7,5,15,1,1,17,4,3,1,2,2,3
"6",6,223,1,1,15,8,1,1,1,2,1,1,1,2,1
"7",10,97,4,1,1,9,1,2,12,5,4,2,2,1,1
"8",13,119,3,5,15,4,2,1,3,1,1,1,1,1,1
"9",14,64,2,1,5,3,2,2,4,1,1,1,1,2,2
"10",5,80,19,2,7,5,8,1,1,2,1,1,8,1,1
"11",9,48,9,3,4,1,3,1,2,2,1,1,1,1,1
"12",15,111,8,1,2,11,5,1,5,4,1,1,2,1,1
"13",19,109,1,4,9,1,14,2,1,2,1,3,2,1,1
"14",7,335,3,8,1,4,4,2,1,6,3,4,1,1,4
"15",8,318,1,2,1,1,5,5,1,4,7,1,4,1,2
"16",11,138,1,5,6,5,11,1,1,2,1,1,1,1,2
"17",12,120,2,2,1,3,20,1,3,3,2,3,1,1,1
"18",5,109,2,1,12,1,14,4,1,5,3,2,2,1,2
"19",13,36,2,6,6,2,1,1,4,3,5,1,2,1,1
"20",10,33,2,1,62,7,1,1,1,1,2,1,1,2,1
"21",10,64,1,30,24,7,1,3,1,2,1,5,1,1,1
"22",21,105,1,1,26,5,2,3,1,5,1,1,1,1,1
"23",18,78,1,2,43,1,18,2,1,1,1,3,1,1,2
"24",21,290,1,7,19,2,4,1,1,1,1,5,1,2,1
"25",14,181,2,1,16,3,16,1,1,3,6,3,3,3,1
"26",7,152,1,1,8,1,46,1,1,1,1,2,8,4,1
"27",12,153,5,17,11,4,1,1,1,1,1,1,2,3,1
"28",17,88,3,15,1,19,43,1,1,2,1,1,15,1,1
"29",26,79,2,18,4,2,8,1,1,3,1,1,1,1,2
"30",30,79,1,16,2,8,2,1,1,2,1,1,1,1,1
"31",21,50,1,5,2,2,7,2,1,1,2,1,1,3,1
"32",12,23,1,7,7,1,1,3,2,1,2,1,1,3,2
"33",20,48,1,5,1,25,4,8,1,4,1,3,1,5,1
"34",6,34,2,22,1,10,3,2,11,1,1,2,1,7,1
"35",27,23,3,6,1,2,5,1,1,4,2,1,2,3,6
"36",14,35,1,46,2,3,2,1,1,1,1,1,8,4,2
"37",8,34,5,19,1,14,1,1,14,4,1,1,3,1,1
"38",18,27,31,8,1,2,1,2,4,3,1,1,2,3,1
"39",33,19,1,7,3,7,2,1,1,1,1,2,1,2,1
"40",12,19,1,3,4,5,3,2,2,1,1,3,2,1,1
"41",29,114,2,2,3,6,31,1,1,1,1,1,1,1,3
"42",9,96,2,1,3,3,43,1,1,1,1,1,1,1,4
"43",8,31,1,15,1,21,15,1,1,2,2,1,1,2,2
"44",13,37,2,37,1,1,41,1,1,1,1,1,2,4,4
"45",5,37,3,4,1,5,38,1,1,13,1,2,4,2,2
"46",16,33,1,19,1,3,18,3,3,42,1,2,1,3,8
"47",13,24,1,4,1,4,19,1,1,38,1,1,1,1,1
"48",5,26,1,15,1,4,48,1,1,29,1,2,2,2,1
"49",7,22,2,32,6,3,16,2,2,12,1,2,2,2,1
"50",9,30,3,10,1,7,2,1,1,2,1,1,2,1,2
"51",4,41,2,20,2,3,5,1,2,1,1,1,1,1,2
"52",12,29,1,12,2,2,3,2,1,1,1,1,7,1,4
"53",10,30,1,12,3,12,6,4,1,2,1,2,4,1,1
"54",5,14,2,9,2,7,5,8,1,3,1,4,5,1,1
"55",9,21,1,5,1,2,9,3,2,7,1,2,1,1,1
"56",12,5,2,6,3,1,8,3,1,3,1,1,7,2,1
"57",17,12,1,15,4,1,1,5,4,7,1,3,2,3,1
"58",11,6,1,17,3,2,3,2,1,8,2,2,7,2,1
"59",11,7,1,27,5,3,17,2,5,4,1,1,8,4,1
"60",13,7,2,21,18,2,2,6,1,8,1,2,1,4,4
"61",10,1,1,25,13,2,7,1,1,7,1,1,2,1,1
"62",17,1,1,28,16,4,16,1,1,5,1,5,1,4,1
"63",14,2,1,27,5,1,1,2,7,6,1,2,11,1,1
"64",5,1,2,38,2,2,8,3,1,8,2,2,18,10,5
"65",14,5,1,4,1,3,41,5,1,2,1,1,2,3,1
"66",20,2,2,20,4,1,5,15,1,5,1,3,3,6,1
"67",20,6,1,10,3,1,5,17,1,8,2,1,1,2,3
"68",11,2,3,10,6,1,4,10,2,1,1,4,1,1,2
"69",18,3,4,3,4,1,8,5,1,6,10,1,1,2,3
"70",12,2,4,1,3,2,4,5,1,2,2,1,2,7,2
"71",12,3,5,2,3,1,7,5,2,3,6,3,4,4,6
"72",11,1,4,2,3,6,6,8,2,4,2,1,1,3,2
"73",23,6,1,4,2,2,3,2,1,4,2,11,2,6,1
"74",21,2,3,3,7,1,2,2,1,2,1,7,10,9,3
"75",35,1,4,3,4,2,3,6,1,3,3,6,2,3,3
"76",15,1,3,2,3,2,3,1,1,2,3,1,7,1,3
