"","year","month","numb"
"1",1997,10,1
"2",1997,12,1
"3",1998,2,1
"4",1998,6,1
"5",1998,8,2
"6",1999,6,2
"7",2000,5,1
"8",2001,1,1
"9",2001,8,2
"10",2002,4,1
"11",2003,4,1
"12",2003,5,1
"13",2004,8,1
"14",2004,9,1
"15",2004,10,1
"16",2005,7,1
"17",2005,9,1
"18",2006,6,1
"19",2007,3,1
"20",2007,5,2
"21",2008,7,1
"22",2009,7,1
"23",2009,11,1
"24",2010,2,2
"25",2010,3,3
"26",2010,10,4
"27",2011,3,3
"28",2011,4,1
"29",2011,7,1
"30",2011,8,1
"31",2011,9,3
"32",2012,5,3
"33",2012,8,5
"34",2012,9,7
"35",2013,7,3
"36",2013,8,4
"37",2013,11,1
"38",2013,12,3
"39",2014,1,2
"40",2014,2,1
"41",2014,3,1
"42",2014,9,1
"43",2014,10,2
"44",2014,12,4
"45",2015,1,2
"46",2015,2,3
"47",2015,3,1
"48",2015,4,2
"49",2015,5,2
"50",2015,9,1
"51",2015,11,1
"52",2016,1,1
"53",2016,3,1
"54",2016,4,1
"55",2016,5,1
"56",2016,6,2
"57",2016,7,3
"58",2016,8,2
"59",2016,10,4
"60",2016,11,4
"61",2016,12,1
"62",2017,1,4
"63",2017,2,1
"64",2017,3,10
"65",2017,4,3
"66",2017,5,6
"67",2017,6,2
"68",2017,8,1
"69",2017,9,2
"70",2017,10,7
"71",2017,11,4
"72",2017,12,3
"73",2018,1,6
"74",2018,2,9
"75",2018,3,3
