"","year","month","numb"
"1",1997,2,4
"2",1998,5,1
"3",1998,12,3
"4",1999,1,10
"5",1999,3,4
"6",1999,4,2
"7",1999,5,5
"8",1999,6,1
"9",1999,7,1
"10",1999,8,2
"11",1999,11,2
"12",1999,12,4
"13",2000,1,2
"14",2000,4,6
"15",2000,5,4
"16",2000,10,2
"17",2000,11,3
"18",2000,12,5
"19",2001,6,3
"20",2001,7,1
"21",2001,12,2
"22",2002,2,5
"23",2002,9,1
"24",2003,10,1
"25",2004,2,3
"26",2004,6,1
"27",2005,2,1
"28",2005,10,2
"29",2005,12,3
"30",2006,5,2
"31",2006,6,1
"32",2006,7,1
"33",2006,12,4
"34",2007,10,1
"35",2008,2,4
"36",2008,3,1
"37",2008,5,4
"38",2008,6,3
"39",2009,1,1
"40",2010,2,1
"41",2010,3,1
"42",2010,4,1
"43",2010,7,2
"44",2011,1,1
"45",2011,2,13
"46",2011,3,42
"47",2011,4,38
"48",2011,5,29
"49",2011,6,12
"50",2011,7,2
"51",2011,9,1
"52",2011,12,1
"53",2012,1,2
"54",2012,2,3
"55",2012,3,7
"56",2012,4,3
"57",2012,5,7
"58",2012,6,8
"59",2012,7,4
"60",2012,8,8
"61",2012,9,7
"62",2012,10,5
"63",2012,11,6
"64",2012,12,8
"65",2013,1,2
"66",2013,2,5
"67",2013,3,8
"68",2013,4,1
"69",2013,5,6
"70",2013,6,2
"71",2013,7,3
"72",2013,8,4
"73",2013,9,4
"74",2013,10,2
"75",2013,11,3
"76",2013,12,2
"77",2014,1,11
"78",2014,2,8
"79",2014,3,7
"80",2014,4,15
"81",2014,5,15
"82",2014,6,3
"83",2014,7,6
"84",2014,8,4
"85",2014,9,4
"86",2014,10,36
"87",2014,11,7
"88",2014,12,8
"89",2015,1,8
"90",2015,2,13
"91",2015,3,8
"92",2015,4,13
"93",2015,5,11
"94",2015,6,5
"95",2015,7,4
"96",2015,8,5
"97",2015,9,33
"98",2015,10,7
"99",2015,11,10
"100",2015,12,3
"101",2016,1,12
"102",2016,2,6
"103",2016,3,15
"104",2016,4,3
"105",2016,5,11
"106",2016,6,16
"107",2016,7,1
"108",2016,8,2
"109",2016,9,9
"110",2016,10,12
"111",2016,11,9
"112",2016,12,9
"113",2017,1,15
"114",2017,2,9
"115",2017,3,15
"116",2017,4,22
"117",2017,5,15
"118",2017,6,15
"119",2017,7,26
"120",2017,8,11
"121",2017,9,13
"122",2017,10,24
"123",2017,11,22
"124",2017,12,20
"125",2018,1,11
"126",2018,2,9
"127",2018,3,15
"128",2018,4,9
