"","year","month","numb"
"1",1997,4,2
"2",1997,5,1
"3",1998,1,2
"4",1998,6,32
"5",1998,7,17
"6",1998,8,1
"7",1998,10,12
"8",1999,1,3
"9",1999,2,4
"10",1999,3,1
"11",1999,4,2
"12",1999,5,5
"13",1999,8,1
"14",1999,11,1
"15",1999,12,1
"16",2000,1,1
"17",2000,4,3
"18",2000,6,1
"19",2000,11,4
"20",2001,1,1
"21",2001,3,1
"22",2001,9,1
"23",2002,5,1
"24",2002,7,1
"25",2002,8,1
"26",2003,2,1
"27",2003,3,1
"28",2003,5,1
"29",2003,9,1
"30",2003,10,1
"31",2004,2,1
"32",2004,3,2
"33",2004,10,1
"34",2005,5,11
"35",2005,6,1
"36",2005,7,1
"37",2006,3,14
"38",2006,4,4
"39",2006,8,1
"40",2006,12,2
"41",2007,1,1
"42",2007,3,1
"43",2008,4,1
"44",2008,11,1
"45",2009,1,1
"46",2009,3,3
"47",2009,4,1
"48",2009,5,1
"49",2009,6,2
"50",2009,10,1
"51",2010,4,2
"52",2010,5,1
"53",2010,6,1
"54",2011,5,1
"55",2011,7,2
"56",2011,8,1
"57",2011,12,4
"58",2012,3,1
"59",2012,4,5
"60",2012,5,1
"61",2012,6,1
"62",2012,9,1
"63",2012,10,7
"64",2012,11,1
"65",2013,3,1
"66",2013,4,1
"67",2013,7,1
"68",2013,10,2
"69",2013,11,1
"70",2013,12,1
"71",2014,5,2
"72",2014,9,2
"73",2015,7,1
"74",2015,9,1
"75",2016,5,1
"76",2016,10,1
"77",2016,11,2
"78",2016,12,1
"79",2017,2,1
"80",2017,3,3
"81",2017,4,3
"82",2017,5,1
"83",2017,6,1
"84",2017,8,1
"85",2017,10,2
"86",2017,11,2
"87",2017,12,2
"88",2018,2,1
"89",2018,3,1
