"","year","month","numb"
"1",1997,3,1
"2",1997,10,1
"3",1997,11,1
"4",1997,12,2
"5",1998,1,1
"6",1998,5,1
"7",1998,10,2
"8",1999,9,1
"9",1999,11,1
"10",2000,4,1
"11",2000,5,1
"12",2000,7,1
"13",2000,11,3
"14",2000,12,4
"15",2001,3,1
"16",2001,4,1
"17",2001,5,3
"18",2001,10,2
"19",2001,12,1
"20",2002,1,1
"21",2002,3,5
"22",2002,6,1
"23",2003,1,3
"24",2003,2,5
"25",2003,3,3
"26",2003,4,2
"27",2003,7,1
"28",2003,8,1
"29",2003,9,1
"30",2003,11,1
"31",2004,7,1
"32",2004,10,1
"33",2004,11,3
"34",2004,12,2
"35",2005,2,1
"36",2005,3,1
"37",2005,8,1
"38",2006,8,1
"39",2006,11,2
"40",2007,9,3
"41",2007,10,1
"42",2007,12,1
"43",2008,1,1
"44",2008,3,1
"45",2008,5,2
"46",2008,6,2
"47",2008,7,1
"48",2008,8,2
"49",2008,12,2
"50",2009,3,1
"51",2009,5,1
"52",2009,6,1
"53",2009,7,2
"54",2009,8,4
"55",2009,9,2
"56",2009,10,1
"57",2009,11,3
"58",2009,12,2
"59",2010,1,1
"60",2010,3,2
"61",2010,4,1
"62",2010,6,5
"63",2010,9,2
"64",2010,11,2
"65",2011,2,1
"66",2011,4,3
"67",2011,7,1
"68",2011,8,4
"69",2011,9,1
"70",2012,1,1
"71",2012,4,3
"72",2012,5,1
"73",2012,6,11
"74",2012,7,7
"75",2012,8,6
"76",2012,9,1
"77",2012,10,3
"78",2012,11,3
"79",2012,12,9
"80",2013,1,2
"81",2013,2,1
"82",2013,3,7
"83",2013,4,2
"84",2013,5,8
"85",2013,6,12
"86",2013,7,3
"87",2013,9,1
"88",2013,10,8
"89",2013,11,8
"90",2013,12,1
"91",2014,1,2
"92",2014,2,11
"93",2014,3,5
"94",2014,4,4
"95",2014,5,5
"96",2014,6,3
"97",2014,7,6
"98",2014,10,2
"99",2014,11,5
"100",2014,12,5
"101",2015,1,4
"102",2015,2,6
"103",2015,3,9
"104",2015,4,8
"105",2015,5,9
"106",2015,6,8
"107",2015,7,8
"108",2015,8,6
"109",2015,9,4
"110",2015,10,5
"111",2015,11,13
"112",2015,12,7
"113",2016,1,14
"114",2016,2,6
"115",2016,3,4
"116",2016,4,4
"117",2016,5,6
"118",2016,6,13
"119",2016,7,6
"120",2016,8,13
"121",2016,9,6
"122",2016,10,12
"123",2016,11,18
"124",2016,12,15
"125",2017,2,8
"126",2017,3,12
"127",2017,4,20
"128",2017,5,22
"129",2017,6,7
"130",2017,7,1
"131",2017,8,2
"132",2017,9,2
"133",2017,10,9
"134",2017,11,13
"135",2017,12,15
"136",2018,1,8
"137",2018,2,5
"138",2018,3,7
"139",2018,4,4
