"","year","month","numb"
"1",1997,11,3
"2",1998,3,5
"3",1998,8,1
"4",1998,10,8
"5",1998,11,5
"6",1998,12,15
"7",1999,1,1
"8",1999,3,15
"9",1999,4,5
"10",1999,5,7
"11",1999,6,4
"12",1999,8,2
"13",1999,9,9
"14",1999,10,1
"15",1999,12,1
"16",2000,1,6
"17",2000,2,1
"18",2000,6,12
"19",2000,8,6
"20",2000,9,62
"21",2000,10,24
"22",2000,11,26
"23",2000,12,43
"24",2001,1,19
"25",2001,2,16
"26",2001,3,8
"27",2001,4,11
"28",2001,5,1
"29",2001,7,4
"30",2001,10,2
"31",2001,11,2
"32",2001,12,7
"33",2002,3,1
"34",2002,4,1
"35",2002,5,1
"36",2002,6,2
"37",2002,7,1
"38",2002,8,1
"39",2002,9,3
"40",2002,11,4
"41",2003,3,3
"42",2003,5,3
"43",2003,6,1
"44",2003,8,1
"45",2003,10,1
"46",2003,12,1
"47",2004,6,1
"48",2004,7,1
"49",2004,9,6
"50",2004,11,1
"51",2004,12,2
"52",2005,1,2
"53",2005,4,3
"54",2005,5,2
"55",2005,6,1
"56",2005,7,3
"57",2005,11,4
"58",2006,2,3
"59",2006,6,5
"60",2007,1,18
"61",2007,2,13
"62",2007,5,16
"63",2008,5,5
"64",2008,6,2
"65",2008,10,1
"66",2008,11,4
"67",2008,12,3
"68",2009,1,6
"69",2009,2,4
"70",2009,3,3
"71",2009,5,3
"72",2009,6,3
"73",2009,7,2
"74",2009,8,7
"75",2009,9,4
"76",2009,10,3
"77",2009,11,1
"78",2009,12,3
"79",2010,2,8
"80",2010,4,1
"81",2010,5,1
"82",2010,6,2
"83",2010,7,1
"84",2010,9,3
"85",2010,10,1
"86",2010,11,8
"87",2011,3,3
"88",2011,4,1
"89",2011,6,1
"90",2011,7,3
"91",2011,8,1
"92",2011,9,1
"93",2012,3,3
"94",2012,4,1
"95",2012,5,3
"96",2012,6,6
"97",2012,8,6
"98",2012,9,8
"99",2012,10,3
"100",2012,11,1
"101",2012,12,6
"102",2013,1,2
"103",2013,2,8
"104",2013,3,10
"105",2013,4,4
"106",2013,5,10
"107",2013,6,3
"108",2013,7,23
"109",2013,8,7
"110",2013,9,17
"111",2013,11,4
"112",2013,12,4
"113",2014,1,3
"114",2014,2,3
"115",2014,3,8
"116",2014,4,2
"117",2014,5,2
"118",2014,6,2
"119",2014,7,2
"120",2014,8,2
"121",2014,9,5
"122",2014,10,1
"123",2014,11,3
"124",2014,12,4
"125",2015,1,10
"126",2015,2,3
"127",2015,4,5
"128",2015,5,3
"129",2015,7,1
"130",2015,8,2
"131",2015,9,4
"132",2015,10,18
"133",2015,11,8
"134",2015,12,1
"135",2016,1,1
"136",2016,2,6
"137",2016,3,2
"138",2016,4,8
"139",2016,5,6
"140",2016,6,5
"141",2016,7,3
"142",2016,8,4
"143",2016,9,5
"144",2016,10,4
"145",2016,11,2
"146",2016,12,2
"147",2017,1,3
"148",2017,2,17
"149",2017,3,2
"150",2017,4,5
"151",2017,5,3
"152",2017,6,9
"153",2017,7,5
"154",2017,8,1
"155",2017,9,11
"156",2017,10,8
"157",2017,11,8
"158",2017,12,5
"159",2018,1,7
"160",2018,2,15
"161",2018,3,14
