"","year","month","numb"
"1",1997,1,4
"2",1997,3,4
"3",1997,6,2
"4",1997,8,1
"5",1997,9,1
"6",1997,11,1
"7",1997,12,1
"8",1998,5,2
"9",1998,7,2
"10",1998,9,8
"11",1998,12,3
"12",1999,4,5
"13",1999,5,14
"14",1999,6,4
"15",1999,9,5
"16",1999,10,11
"17",1999,11,20
"18",1999,12,14
"19",2000,1,1
"20",2000,3,1
"21",2000,4,1
"22",2000,5,2
"23",2000,7,18
"24",2000,8,4
"25",2000,9,16
"26",2000,10,46
"27",2000,11,1
"28",2000,12,43
"29",2001,1,8
"30",2001,2,2
"31",2001,3,7
"32",2001,4,1
"33",2001,5,4
"34",2001,7,3
"35",2001,8,5
"36",2001,9,2
"37",2001,10,1
"38",2001,11,1
"39",2002,6,2
"40",2002,7,3
"41",2002,9,31
"42",2002,10,43
"43",2002,11,15
"44",2002,12,41
"45",2003,1,38
"46",2003,2,18
"47",2003,3,19
"48",2003,4,48
"49",2003,5,16
"50",2003,6,2
"51",2003,7,5
"52",2003,8,3
"53",2003,9,6
"54",2003,10,5
"55",2003,11,9
"56",2003,12,8
"57",2004,1,1
"58",2004,2,3
"59",2004,3,17
"60",2004,4,2
"61",2004,5,7
"62",2004,6,16
"63",2004,8,1
"64",2004,10,8
"65",2004,11,41
"66",2004,12,5
"67",2005,2,5
"68",2005,3,4
"69",2005,4,8
"70",2005,5,4
"71",2005,6,7
"72",2005,7,6
"73",2005,8,3
"74",2005,9,2
"75",2005,10,3
"76",2005,12,3
"77",2006,1,8
"78",2006,2,3
"79",2006,4,1
"80",2006,6,2
"81",2006,7,4
"82",2006,11,6
"83",2006,12,6
"84",2007,1,1
"85",2007,6,1
"86",2007,10,1
"87",2007,11,1
"88",2007,12,2
"89",2008,3,1
"90",2008,4,1
"91",2008,5,1
"92",2008,6,7
"93",2008,8,3
"94",2008,9,5
"95",2008,10,3
"96",2008,11,2
"97",2008,12,1
"98",2009,2,1
"99",2009,6,1
"100",2009,7,2
"101",2009,8,1
"102",2010,1,6
"103",2010,2,54
"104",2010,4,3
"105",2010,5,4
"106",2010,6,2
"107",2010,7,2
"108",2010,8,1
"109",2010,9,1
"110",2010,11,12
"111",2010,12,41
"112",2011,1,13
"113",2011,2,30
"114",2011,3,99
"115",2011,4,44
"116",2011,5,15
"117",2011,6,4
"118",2011,7,1
"119",2011,8,1
"120",2011,9,5
"121",2011,10,6
"122",2011,11,2
"123",2011,12,8
"124",2012,1,1
"125",2012,3,1
"126",2012,4,2
"127",2012,6,7
"128",2012,7,2
"129",2012,8,22
"130",2012,9,10
"131",2012,10,11
"132",2012,12,16
"133",2013,1,6
"134",2013,2,5
"135",2013,3,8
"136",2013,4,23
"137",2013,5,8
"138",2013,6,13
"139",2013,7,16
"140",2013,8,3
"141",2013,9,10
"142",2013,10,2
"143",2013,11,1
"144",2013,12,5
"145",2014,1,11
"146",2014,2,17
"147",2014,3,12
"148",2014,4,11
"149",2014,5,7
"150",2014,6,6
"151",2014,7,4
"152",2014,8,1
"153",2014,9,6
"154",2014,10,2
"155",2014,11,16
"156",2014,12,8
"157",2015,1,4
"158",2015,2,8
"159",2015,3,10
"160",2015,4,13
"161",2015,5,6
"162",2015,6,7
"163",2015,7,4
"164",2015,8,2
"165",2015,9,11
"166",2015,10,2
"167",2015,11,3
"168",2015,12,3
"169",2016,1,4
"170",2016,2,6
"171",2016,3,9
"172",2016,4,6
"173",2016,5,4
"174",2016,6,5
"175",2016,7,5
"176",2016,8,4
"177",2016,9,5
"178",2016,10,13
"179",2016,11,6
"180",2016,12,2
"181",2017,1,31
"182",2017,2,9
"183",2017,3,4
"184",2017,4,2
"185",2017,5,20
"186",2017,6,2
"187",2017,7,6
"188",2017,8,5
"189",2017,9,8
"190",2017,10,6
"191",2017,11,4
"192",2017,12,10
"193",2018,1,7
"194",2018,2,4
"195",2018,3,4
"196",2018,4,2
