"","year","month","numb"
"1",1997,1,1
"2",1997,2,4
"3",1997,3,1
"4",1997,5,1
"5",1997,6,7
"6",1997,7,1
"7",1997,9,1
"8",1997,11,5
"9",1997,12,1
"10",1998,3,2
"11",1998,4,3
"12",1998,5,1
"13",1998,6,4
"14",1998,7,8
"15",1998,8,2
"16",1998,9,5
"17",1998,11,2
"18",1998,12,1
"19",1999,4,6
"20",1999,7,1
"21",1999,8,30
"22",1999,9,1
"23",1999,12,2
"24",2000,2,7
"25",2000,4,1
"26",2000,6,1
"27",2000,7,17
"28",2000,8,15
"29",2000,9,18
"30",2000,10,16
"31",2000,11,5
"32",2000,12,7
"33",2001,1,5
"34",2001,2,22
"35",2001,3,6
"36",2001,4,46
"37",2001,5,19
"38",2001,6,8
"39",2001,7,7
"40",2001,8,3
"41",2001,9,2
"42",2001,10,1
"43",2001,11,15
"44",2001,12,37
"45",2002,1,4
"46",2002,2,19
"47",2002,3,4
"48",2002,4,15
"49",2002,5,32
"50",2002,6,10
"51",2002,7,20
"52",2002,8,12
"53",2002,9,12
"54",2002,10,9
"55",2002,11,5
"56",2002,12,6
"57",2003,1,15
"58",2003,2,17
"59",2003,3,27
"60",2003,4,21
"61",2003,5,25
"62",2003,6,28
"63",2003,7,27
"64",2003,8,38
"65",2003,9,4
"66",2003,10,20
"67",2003,11,10
"68",2003,12,10
"69",2004,1,3
"70",2004,2,1
"71",2004,3,2
"72",2004,4,2
"73",2004,5,4
"74",2004,6,3
"75",2004,8,3
"76",2004,9,2
"77",2004,11,5
"78",2004,12,1
"79",2005,1,2
"80",2005,3,1
"81",2005,5,1
"82",2005,6,15
"83",2005,8,4
"84",2005,9,1
"85",2005,10,1
"86",2005,11,1
"87",2005,12,2
"88",2006,4,2
"89",2006,5,8
"90",2006,6,1
"91",2006,7,2
"92",2006,8,3
"93",2006,10,2
"94",2006,11,3
"95",2006,12,1
"96",2007,1,2
"97",2007,2,1
"98",2007,3,1
"99",2007,4,1
"100",2007,5,1
"101",2007,9,1
"102",2007,11,2
"103",2008,2,1
"104",2008,3,1
"105",2008,4,3
"106",2008,6,4
"107",2008,7,1
"108",2008,8,1
"109",2008,9,4
"110",2008,11,1
"111",2008,12,1
"112",2009,2,2
"113",2009,4,1
"114",2009,9,3
"115",2009,11,2
"116",2009,12,1
"117",2010,1,1
"118",2010,2,2
"119",2010,3,1
"120",2010,4,2
"121",2010,5,1
"122",2010,6,3
"123",2010,8,1
"124",2011,3,2
"125",2011,4,1
"126",2011,7,1
"127",2011,8,3
"128",2011,9,2
"129",2011,10,5
"130",2011,11,12
"131",2011,12,3
"132",2012,3,2
"133",2012,5,2
"134",2012,6,1
"135",2012,7,1
"136",2012,8,1
"137",2012,9,2
"138",2012,10,3
"139",2012,11,4
"140",2013,1,4
"141",2013,2,4
"142",2013,3,2
"143",2013,4,1
"144",2013,6,5
"145",2013,7,6
"146",2013,9,19
"147",2013,10,12
"148",2013,11,11
"149",2013,12,3
"150",2014,1,7
"151",2014,2,5
"152",2014,3,12
"153",2014,4,8
"154",2014,5,8
"155",2014,6,8
"156",2014,7,13
"157",2014,8,18
"158",2014,9,9
"159",2014,10,14
"160",2014,11,6
"161",2014,12,9
"162",2015,1,4
"163",2015,3,7
"164",2015,4,11
"165",2015,5,4
"166",2015,6,5
"167",2015,7,2
"168",2015,8,5
"169",2015,9,6
"170",2015,10,12
"171",2015,11,6
"172",2015,12,8
"173",2016,1,5
"174",2016,2,3
"175",2016,3,4
"176",2016,4,8
"177",2016,5,8
"178",2016,6,5
"179",2016,7,4
"180",2016,8,1
"181",2016,9,9
"182",2016,10,5
"183",2016,11,9
"184",2016,12,1
"185",2017,1,8
"186",2017,2,13
"187",2017,4,5
"188",2017,5,7
"189",2017,7,3
"190",2017,8,4
"191",2017,9,2
"192",2017,10,8
"193",2017,11,3
"194",2017,12,2
"195",2018,1,12
"196",2018,2,5
