"","year","month","numb"
"1",1997,1,1
"2",1997,2,1
"3",1997,4,3
"4",1997,5,4
"5",1997,6,3
"6",1997,8,1
"7",1997,9,1
"8",1997,11,1
"9",1998,3,2
"10",1998,5,1
"11",1998,11,1
"12",1999,4,1
"13",1999,6,1
"14",1999,7,4
"15",1999,8,2
"16",1999,10,2
"17",2000,1,1
"18",2000,3,2
"19",2000,8,1
"20",2000,12,1
"21",2001,1,1
"22",2001,4,1
"23",2001,6,2
"24",2001,10,1
"25",2001,12,1
"26",2002,2,1
"27",2002,8,1
"28",2003,7,1
"29",2003,8,2
"30",2003,10,1
"31",2004,2,1
"32",2004,4,2
"33",2005,3,1
"34",2005,6,1
"35",2006,5,6
"36",2006,6,2
"37",2006,9,1
"38",2006,10,1
"39",2007,2,1
"40",2007,5,1
"41",2007,8,3
"42",2007,9,4
"43",2007,12,2
"44",2008,3,4
"45",2008,4,2
"46",2008,5,8
"47",2008,6,1
"48",2008,7,1
"49",2008,9,1
"50",2008,10,2
"51",2008,12,2
"52",2009,1,4
"53",2009,6,1
"54",2009,7,1
"55",2009,8,1
"56",2009,9,1
"57",2009,11,1
"58",2009,12,1
"59",2010,1,1
"60",2010,2,4
"61",2010,3,1
"62",2010,7,1
"63",2010,8,1
"64",2010,9,5
"65",2010,10,1
"66",2010,11,1
"67",2010,12,3
"68",2011,1,2
"69",2011,3,3
"70",2011,4,2
"71",2011,6,6
"72",2011,7,2
"73",2011,8,1
"74",2011,9,3
"75",2011,10,3
"76",2011,11,3
"77",2011,12,4
"78",2012,1,12
"79",2012,2,20
"80",2012,3,36
"81",2012,4,34
"82",2012,5,28
"83",2012,6,24
"84",2012,7,35
"85",2012,8,33
"86",2012,9,15
"87",2012,10,20
"88",2012,11,15
"89",2012,12,10
"90",2013,1,104
"91",2013,2,60
"92",2013,3,38
"93",2013,4,16
"94",2013,5,13
"95",2013,6,11
"96",2013,7,9
"97",2013,8,6
"98",2013,9,14
"99",2013,10,10
"100",2013,11,19
"101",2013,12,14
"102",2014,1,9
"103",2014,2,16
"104",2014,3,13
"105",2014,4,12
"106",2014,5,34
"107",2014,6,6
"108",2014,7,11
"109",2014,8,8
"110",2014,9,10
"111",2014,10,8
"112",2014,11,14
"113",2014,12,13
"114",2015,1,26
"115",2015,2,8
"116",2015,3,15
"117",2015,4,22
"118",2015,5,30
"119",2015,6,11
"120",2015,7,8
"121",2015,8,20
"122",2015,9,8
"123",2015,10,9
"124",2015,11,9
"125",2015,12,11
"126",2016,1,9
"127",2016,2,15
"128",2016,3,7
"129",2016,4,14
"130",2016,5,18
"131",2016,6,10
"132",2016,7,17
"133",2016,8,17
"134",2016,9,10
"135",2016,10,16
"136",2016,11,22
"137",2016,12,14
"138",2017,1,31
"139",2017,2,32
"140",2017,3,35
"141",2017,4,42
"142",2017,5,39
"143",2017,6,52
"144",2017,7,57
"145",2017,8,28
"146",2017,9,47
"147",2017,10,40
"148",2017,11,38
"149",2017,12,32
"150",2018,1,37
"151",2018,2,51
"152",2018,3,56
"153",2018,4,21
