"","year","month","numb"
"1",1997,3,1
"2",1997,7,2
"3",1997,10,1
"4",1997,11,1
"5",1998,12,1
"6",1999,6,1
"7",1999,11,2
"8",2000,4,1
"9",2000,10,2
"10",2000,11,1
"11",2001,4,1
"12",2002,3,1
"13",2002,4,2
"14",2003,3,2
"15",2003,6,5
"16",2003,7,1
"17",2003,8,1
"18",2003,11,4
"19",2004,3,1
"20",2004,11,1
"21",2005,4,3
"22",2005,5,3
"23",2005,6,2
"24",2005,8,1
"25",2006,1,1
"26",2006,7,1
"27",2006,12,1
"28",2007,3,1
"29",2007,7,1
"30",2007,11,1
"31",2007,12,2
"32",2008,2,3
"33",2008,4,8
"34",2008,8,2
"35",2008,9,1
"36",2008,10,1
"37",2008,12,1
"38",2009,1,2
"39",2009,3,1
"40",2009,4,2
"41",2009,6,1
"42",2009,7,1
"43",2009,9,1
"44",2009,11,1
"45",2009,12,1
"46",2010,2,3
"47",2010,3,1
"48",2010,4,1
"49",2010,6,2
"50",2010,8,1
"51",2010,9,1
"52",2010,11,2
"53",2010,12,4
"54",2011,2,8
"55",2011,3,3
"56",2011,4,3
"57",2011,5,5
"58",2011,7,2
"59",2011,8,2
"60",2011,9,6
"61",2011,11,1
"62",2011,12,1
"63",2012,2,2
"64",2012,3,3
"65",2012,4,5
"66",2012,5,15
"67",2012,6,17
"68",2012,7,10
"69",2012,8,5
"70",2012,9,5
"71",2012,10,5
"72",2012,11,8
"73",2012,12,2
"74",2013,1,2
"75",2013,2,6
"76",2013,3,1
"77",2013,4,2
"78",2013,5,8
"79",2013,6,3
"80",2013,7,2
"81",2013,8,3
"82",2013,9,3
"83",2013,10,3
"84",2013,11,21
"85",2013,12,5
"86",2014,1,8
"87",2014,2,9
"88",2014,3,10
"89",2014,4,2
"90",2014,5,2
"91",2014,6,3
"92",2014,7,6
"93",2014,8,1
"94",2014,9,1
"95",2014,10,2
"96",2014,11,8
"97",2014,12,4
"98",2015,1,10
"99",2015,2,6
"100",2015,3,3
"101",2015,4,3
"102",2015,5,1
"103",2015,6,3
"104",2015,7,3
"105",2015,8,5
"106",2015,9,2
"107",2015,10,4
"108",2015,12,1
"109",2016,1,1
"110",2016,2,3
"111",2016,4,2
"112",2016,5,4
"113",2016,6,2
"114",2016,7,2
"115",2016,8,1
"116",2016,9,1
"117",2016,10,2
"118",2016,11,5
"119",2016,12,1
"120",2017,1,3
"121",2017,2,1
"122",2017,3,6
"123",2017,4,3
"124",2017,5,5
"125",2017,6,1
"126",2017,7,16
"127",2017,8,7
"128",2017,9,5
"129",2017,10,1
"130",2017,11,7
"131",2017,12,5
"132",2018,1,3
"133",2018,2,8
"134",2018,3,3
"135",2018,4,2
