"","year","month","numb"
"1",1997,1,14
"2",1997,2,14
"3",1997,3,16
"4",1997,4,18
"5",1997,5,11
"6",1997,6,6
"7",1997,7,10
"8",1997,8,13
"9",1997,9,14
"10",1997,10,5
"11",1997,11,9
"12",1997,12,15
"13",1998,1,19
"14",1998,2,7
"15",1998,3,8
"16",1998,4,11
"17",1998,5,12
"18",1998,6,5
"19",1998,7,13
"20",1998,8,10
"21",1998,9,10
"22",1998,10,21
"23",1998,11,18
"24",1998,12,21
"25",1999,1,14
"26",1999,2,7
"27",1999,3,12
"28",1999,4,17
"29",1999,5,26
"30",1999,6,30
"31",1999,7,21
"32",1999,8,12
"33",1999,9,20
"34",1999,10,6
"35",1999,11,27
"36",1999,12,14
"37",2000,1,8
"38",2000,2,18
"39",2000,3,33
"40",2000,4,12
"41",2000,5,29
"42",2000,6,9
"43",2000,7,8
"44",2000,8,13
"45",2000,9,5
"46",2000,10,16
"47",2000,11,13
"48",2000,12,5
"49",2001,1,7
"50",2001,2,9
"51",2001,3,4
"52",2001,4,12
"53",2001,5,10
"54",2001,6,5
"55",2001,7,9
"56",2001,8,12
"57",2001,9,17
"58",2001,10,11
"59",2001,11,11
"60",2001,12,13
"61",2002,1,10
"62",2002,2,17
"63",2002,3,14
"64",2002,4,5
"65",2002,5,14
"66",2002,6,20
"67",2002,7,20
"68",2002,8,11
"69",2002,9,18
"70",2002,10,12
"71",2002,11,12
"72",2002,12,11
"73",2003,1,23
"74",2003,2,21
"75",2003,3,35
"76",2003,4,15
"77",2003,5,22
"78",2003,6,14
"79",2003,7,18
"80",2003,8,15
"81",2003,9,7
"82",2003,10,8
"83",2003,11,12
"84",2003,12,17
"85",2004,1,23
"86",2004,2,16
"87",2004,3,53
"88",2004,4,39
"89",2004,5,24
"90",2004,6,14
"91",2004,7,14
"92",2004,8,24
"93",2004,9,21
"94",2004,10,14
"95",2004,11,22
"96",2004,12,14
"97",2005,1,14
"98",2005,2,17
"99",2005,3,11
"100",2005,4,15
"101",2005,5,23
"102",2005,6,19
"103",2005,7,22
"104",2005,8,19
"105",2005,9,18
"106",2005,10,16
"107",2005,11,11
"108",2005,12,13
"109",2006,1,9
"110",2006,2,24
"111",2006,3,10
"112",2006,4,6
"113",2006,5,6
"114",2006,6,8
"115",2006,7,12
"116",2006,8,12
"117",2006,9,5
"118",2006,10,7
"119",2006,11,10
"120",2006,12,11
"121",2007,1,25
"122",2007,2,15
"123",2007,3,16
"124",2007,4,24
"125",2007,5,20
"126",2007,6,19
"127",2007,7,19
"128",2007,8,7
"129",2007,9,15
"130",2007,10,15
"131",2007,11,10
"132",2007,12,15
"133",2008,1,14
"134",2008,2,14
"135",2008,3,17
"136",2008,4,17
"137",2008,5,13
"138",2008,6,15
"139",2008,7,15
"140",2008,8,28
"141",2008,9,23
"142",2008,10,15
"143",2008,11,23
"144",2008,12,16
"145",2009,1,17
"146",2009,2,17
"147",2009,3,17
"148",2009,4,15
"149",2009,5,31
"150",2009,6,31
"151",2009,7,31
"152",2009,8,7
"153",2009,9,21
"154",2009,10,10
"155",2009,11,16
"156",2009,12,15
"157",2010,1,86
"158",2010,2,50
"159",2010,3,78
"160",2010,4,72
"161",2010,5,34
"162",2010,6,37
"163",2010,7,27
"164",2010,8,24
"165",2010,9,13
"166",2010,10,15
"167",2010,11,14
"168",2010,12,35
"169",2011,1,52
"170",2011,2,27
"171",2011,3,20
"172",2011,4,80
"173",2011,5,25
"174",2011,6,16
"175",2011,7,18
"176",2011,8,27
"177",2011,9,19
"178",2011,10,19
"179",2011,11,22
"180",2011,12,23
"181",2012,1,87
"182",2012,2,49
"183",2012,3,58
"184",2012,4,73
"185",2012,5,60
"186",2012,6,94
"187",2012,7,68
"188",2012,8,73
"189",2012,9,76
"190",2012,10,101
"191",2012,11,98
"192",2012,12,86
"193",2013,1,62
"194",2013,2,81
"195",2013,3,100
"196",2013,4,91
"197",2013,5,78
"198",2013,6,66
"199",2013,7,82
"200",2013,8,92
"201",2013,9,120
"202",2013,10,100
"203",2013,11,94
"204",2013,12,74
"205",2014,1,111
"206",2014,2,92
"207",2014,3,112
"208",2014,4,109
"209",2014,5,188
"210",2014,6,145
"211",2014,7,141
"212",2014,8,127
"213",2014,9,122
"214",2014,10,119
"215",2014,11,120
"216",2014,12,127
"217",2015,1,143
"218",2015,2,188
"219",2015,3,240
"220",2015,4,174
"221",2015,5,142
"222",2015,6,111
"223",2015,7,138
"224",2015,8,103
"225",2015,9,99
"226",2015,10,102
"227",2015,11,114
"228",2015,12,118
"229",2016,1,117
"230",2016,2,123
"231",2016,3,143
"232",2016,4,148
"233",2016,5,123
"234",2016,6,126
"235",2016,7,119
"236",2016,8,87
"237",2016,9,101
"238",2016,10,95
"239",2016,11,118
"240",2016,12,101
"241",2017,1,188
"242",2017,2,129
"243",2017,3,132
"244",2017,4,134
"245",2017,5,127
"246",2017,6,104
"247",2017,7,107
"248",2017,8,168
"249",2017,9,105
"250",2017,10,134
"251",2017,11,154
"252",2017,12,155
"253",2018,1,179
"254",2018,2,141
"255",2018,3,125
"256",2018,4,67
