"","year","month","numb"
"1",1997,1,7
"2",1997,2,4
"3",1997,5,1
"4",1997,6,2
"5",1997,7,7
"6",1997,9,1
"7",1997,10,4
"8",1997,11,3
"9",1998,1,2
"10",1998,2,19
"11",1998,3,9
"12",1998,4,8
"13",1998,5,1
"14",1998,8,3
"15",1998,12,1
"16",1999,1,1
"17",1999,3,2
"18",1999,4,2
"19",1999,10,2
"20",1999,11,2
"21",1999,12,1
"22",2000,4,1
"23",2000,5,1
"24",2000,6,1
"25",2000,8,2
"26",2000,10,1
"27",2000,11,5
"28",2001,1,3
"29",2001,2,2
"30",2001,3,1
"31",2001,4,1
"32",2001,6,1
"33",2001,9,1
"34",2002,1,2
"35",2002,2,3
"36",2002,5,1
"37",2002,7,5
"38",2002,8,31
"39",2003,4,1
"40",2003,9,1
"41",2003,10,2
"42",2003,12,2
"43",2004,1,1
"44",2004,2,2
"45",2004,3,3
"46",2004,4,1
"47",2004,6,1
"48",2004,7,1
"49",2004,8,2
"50",2004,9,3
"51",2004,10,2
"52",2004,11,1
"53",2005,2,1
"54",2005,3,2
"55",2005,4,1
"56",2005,5,2
"57",2005,6,1
"58",2005,11,1
"59",2005,12,1
"60",2006,2,2
"61",2006,5,1
"62",2006,6,1
"63",2006,7,1
"64",2006,8,2
"65",2006,10,1
"66",2007,2,2
"67",2007,3,1
"68",2007,4,3
"69",2007,6,4
"70",2007,7,4
"71",2007,8,5
"72",2007,9,4
"73",2007,10,1
"74",2007,11,3
"75",2007,12,4
"76",2008,1,3
"77",2008,3,4
"78",2008,4,2
"79",2008,5,3
"80",2008,6,4
"81",2008,7,3
"82",2008,10,3
"83",2008,11,3
"84",2008,12,3
"85",2009,1,1
"86",2009,2,1
"87",2009,3,1
"88",2009,5,2
"89",2009,6,1
"90",2009,7,2
"91",2009,8,3
"92",2009,11,1
"93",2009,12,4
"94",2010,1,2
"95",2010,2,2
"96",2010,3,1
"97",2010,4,2
"98",2010,7,1
"99",2010,9,2
"100",2011,1,4
"101",2011,3,1
"102",2011,6,1
"103",2011,7,1
"104",2011,9,1
"105",2011,11,1
"106",2011,12,1
"107",2012,5,2
"108",2012,6,1
"109",2012,8,2
"110",2012,9,1
"111",2012,10,2
"112",2012,11,1
"113",2013,2,2
"114",2013,4,4
"115",2013,5,4
"116",2013,6,3
"117",2013,8,1
"118",2013,9,5
"119",2013,10,1
"120",2013,11,3
"121",2013,12,2
"122",2014,1,1
"123",2014,4,1
"124",2014,5,5
"125",2014,6,1
"126",2014,9,1
"127",2014,10,5
"128",2014,11,6
"129",2014,12,1
"130",2015,1,6
"131",2015,2,21
"132",2015,3,7
"133",2015,4,1
"134",2015,5,2
"135",2015,6,11
"136",2015,7,7
"137",2015,9,1
"138",2015,10,8
"139",2015,11,6
"140",2015,12,2
"141",2016,1,5
"142",2016,2,6
"143",2016,3,6
"144",2016,4,11
"145",2016,5,8
"146",2016,6,6
"147",2016,7,9
"148",2016,8,3
"149",2016,9,13
"150",2016,10,6
"151",2016,11,6
"152",2016,12,3
"153",2017,1,5
"154",2017,2,4
"155",2017,3,6
"156",2017,4,6
"157",2017,5,4
"158",2017,6,1
"159",2017,7,8
"160",2017,8,4
"161",2017,9,5
"162",2017,10,8
"163",2017,11,4
"164",2017,12,3
"165",2018,1,7
"166",2018,2,13
"167",2018,3,12
"168",2018,4,3
