"","year","month","numb"
"1",1997,1,48
"2",1997,2,15
"3",1997,3,46
"4",1997,4,15
"5",1997,5,153
"6",1997,6,223
"7",1997,7,97
"8",1997,8,119
"9",1997,9,64
"10",1997,10,80
"11",1997,11,48
"12",1997,12,111
"13",1998,1,109
"14",1998,2,335
"15",1998,3,318
"16",1998,4,138
"17",1998,5,120
"18",1998,6,109
"19",1998,7,36
"20",1998,8,33
"21",1998,9,64
"22",1998,10,105
"23",1998,11,78
"24",1998,12,290
"25",1999,1,181
"26",1999,2,152
"27",1999,3,153
"28",1999,4,88
"29",1999,5,79
"30",1999,6,79
"31",1999,7,50
"32",1999,8,23
"33",1999,9,48
"34",1999,10,34
"35",1999,11,23
"36",1999,12,35
"37",2000,1,34
"38",2000,2,27
"39",2000,3,19
"40",2000,4,19
"41",2000,5,114
"42",2000,6,96
"43",2000,7,31
"44",2000,8,37
"45",2000,9,37
"46",2000,10,33
"47",2000,11,24
"48",2000,12,26
"49",2001,1,22
"50",2001,2,30
"51",2001,3,41
"52",2001,4,29
"53",2001,5,30
"54",2001,6,14
"55",2001,7,21
"56",2001,8,5
"57",2001,9,12
"58",2001,10,6
"59",2001,11,7
"60",2001,12,7
"61",2002,1,1
"62",2002,5,1
"63",2002,7,2
"64",2002,9,1
"65",2003,1,5
"66",2003,2,2
"67",2003,3,6
"68",2003,8,2
"69",2003,12,3
"70",2004,2,2
"71",2004,7,3
"72",2004,8,1
"73",2004,9,6
"74",2004,11,2
"75",2005,2,1
"76",2005,5,1
"77",2005,11,3
"78",2006,4,1
"79",2007,7,1
"80",2007,10,2
"81",2008,1,2
"82",2008,5,2
"83",2008,6,1
"84",2008,7,3
"85",2008,8,3
"86",2008,9,2
"87",2008,11,1
"88",2009,1,1
"89",2009,3,9
"90",2009,5,1
"91",2009,6,1
"92",2009,8,1
"93",2009,9,6
"94",2009,12,2
"95",2010,1,7
"96",2010,2,1
"97",2010,3,1
"98",2010,11,1
"99",2010,12,1
"100",2011,6,3
"101",2011,9,3
"102",2011,11,2
"103",2011,12,1
"104",2012,3,1
"105",2012,6,1
"106",2012,7,1
"107",2012,8,3
"108",2012,10,1
"109",2012,11,2
"110",2013,4,2
"111",2013,5,2
"112",2013,7,1
"113",2013,8,1
"114",2013,9,2
"115",2013,11,1
"116",2013,12,1
"117",2014,1,2
"118",2014,2,1
"119",2014,4,1
"120",2014,5,1
"121",2014,7,4
"122",2014,9,3
"123",2014,10,3
"124",2014,12,1
"125",2015,1,2
"126",2015,2,1
"127",2015,3,2
"128",2015,4,4
"129",2015,5,2
"130",2015,6,2
"131",2015,7,2
"132",2015,8,1
"133",2015,9,4
"134",2015,10,1
"135",2015,11,1
"136",2015,12,3
"137",2016,1,3
"138",2016,2,2
"139",2016,3,3
"140",2016,4,3
"141",2016,6,1
"142",2016,7,4
"143",2016,8,2
"144",2016,10,1
"145",2016,11,2
"146",2016,12,1
"147",2017,1,2
"148",2017,2,6
"149",2017,3,10
"150",2017,4,1
"151",2017,8,1
"152",2017,10,4
"153",2017,11,1
"154",2018,1,1
"155",2018,2,16
"156",2018,3,17
"157",2018,4,9
