"","year","month","numb"
"1",1997,3,7
"2",1997,4,1
"3",1997,7,3
"4",1997,8,5
"5",1997,9,15
"6",1997,10,8
"7",1997,11,9
"8",1997,12,4
"9",1998,1,3
"10",1998,2,5
"11",1998,3,1
"12",1998,4,11
"13",1998,5,1
"14",1998,6,4
"15",1998,8,1
"16",1998,10,5
"17",1998,11,3
"18",1999,2,1
"19",1999,3,2
"20",1999,4,7
"21",1999,5,7
"22",1999,6,5
"23",1999,7,1
"24",1999,8,2
"25",1999,9,3
"26",1999,10,1
"27",1999,12,4
"28",2000,2,19
"29",2000,3,2
"30",2000,4,8
"31",2000,5,2
"32",2000,6,1
"33",2000,7,25
"34",2000,8,10
"35",2000,9,2
"36",2000,11,3
"37",2000,12,14
"38",2001,1,2
"39",2001,2,7
"40",2001,3,5
"41",2001,4,6
"42",2001,5,3
"43",2001,6,21
"44",2001,8,1
"45",2001,9,5
"46",2001,10,3
"47",2001,11,4
"48",2001,12,4
"49",2002,1,3
"50",2002,3,7
"51",2002,4,3
"52",2002,5,2
"53",2002,6,12
"54",2002,7,7
"55",2002,8,2
"56",2002,9,1
"57",2002,10,1
"58",2002,12,2
"59",2003,1,3
"60",2003,2,2
"61",2003,3,2
"62",2003,5,4
"63",2003,7,1
"64",2003,9,2
"65",2003,10,3
"66",2003,11,1
"67",2003,12,1
"68",2004,3,1
"69",2004,4,1
"70",2004,7,2
"71",2004,10,1
"72",2004,11,6
"73",2005,1,2
"74",2005,4,1
"75",2005,5,2
"76",2005,7,2
"77",2005,12,4
"78",2006,1,2
"79",2006,3,4
"80",2006,4,4
"81",2006,5,3
"82",2006,6,4
"83",2006,7,1
"84",2006,8,2
"85",2006,9,2
"86",2006,10,2
"87",2006,11,1
"88",2006,12,4
"89",2007,1,7
"90",2007,2,9
"91",2007,3,1
"92",2007,4,2
"93",2007,5,1
"94",2007,6,2
"95",2007,11,1
"96",2007,12,1
"97",2008,1,1
"98",2008,2,1
"99",2008,3,3
"100",2008,4,1
"101",2008,5,6
"102",2008,6,2
"103",2008,7,2
"104",2008,8,3
"105",2008,10,1
"106",2009,5,2
"107",2009,6,2
"108",2009,7,1
"109",2009,8,7
"110",2009,9,3
"111",2009,10,3
"112",2009,12,4
"113",2010,1,2
"114",2010,2,2
"115",2010,3,6
"116",2010,4,2
"117",2010,6,1
"118",2010,7,3
"119",2010,8,2
"120",2010,10,1
"121",2010,11,1
"122",2010,12,4
"123",2011,1,2
"124",2011,2,3
"125",2011,3,5
"126",2011,4,1
"127",2011,5,1
"128",2011,6,7
"129",2011,7,2
"130",2011,8,2
"131",2011,9,3
"132",2011,10,1
"133",2011,11,1
"134",2011,12,4
"135",2012,1,12
"136",2012,2,23
"137",2012,3,3
"138",2012,4,3
"139",2012,5,3
"140",2012,6,2
"141",2012,8,5
"142",2012,9,3
"143",2012,10,2
"144",2012,12,2
"145",2013,1,1
"146",2013,2,7
"147",2013,3,3
"148",2013,4,7
"149",2013,5,4
"150",2013,7,4
"151",2013,8,5
"152",2013,9,12
"153",2013,10,5
"154",2013,11,5
"155",2013,12,10
"156",2014,1,18
"157",2014,2,16
"158",2014,3,13
"159",2014,4,9
"160",2014,5,18
"161",2014,6,17
"162",2014,7,4
"163",2014,8,9
"164",2014,9,3
"165",2014,10,6
"166",2014,11,13
"167",2014,12,7
"168",2015,1,18
"169",2015,2,4
"170",2015,3,21
"171",2015,4,15
"172",2015,5,4
"173",2015,6,10
"174",2015,7,4
"175",2015,8,5
"176",2015,9,3
"177",2015,10,6
"178",2015,11,6
"179",2015,12,1
"180",2016,1,7
"181",2016,2,10
"182",2016,3,5
"183",2016,4,4
"184",2016,5,4
"185",2016,6,1
"186",2016,7,2
"187",2016,8,2
"188",2016,9,5
"189",2016,10,5
"190",2016,11,6
"191",2016,12,8
"192",2017,1,5
"193",2017,2,6
"194",2017,3,5
"195",2017,4,4
"196",2017,5,7
"197",2017,6,6
"198",2017,7,5
"199",2017,8,2
"200",2017,9,5
"201",2017,10,4
"202",2017,11,4
"203",2017,12,2
"204",2018,1,12
"205",2018,2,6
"206",2018,3,15
