"","year","month","numb"
"1",1997,1,1
"2",1997,2,1
"3",1997,4,1
"4",1997,6,1
"5",1997,9,2
"6",1997,10,1
"7",1997,11,2
"8",1998,1,1
"9",1998,3,1
"10",1998,6,8
"11",1998,7,1
"12",1998,8,2
"13",1999,1,2
"14",1999,4,1
"15",2000,3,4
"16",2001,2,1
"17",2001,6,1
"18",2001,8,2
"19",2002,2,2
"20",2002,11,1
"21",2003,2,1
"22",2003,5,1
"23",2003,6,1
"24",2003,10,1
"25",2004,4,3
"26",2005,2,8
"27",2005,3,2
"28",2005,4,15
"29",2006,2,1
"30",2007,10,1
"31",2008,7,1
"32",2008,8,1
"33",2009,4,1
"34",2009,6,1
"35",2009,9,2
"36",2010,3,8
"37",2010,4,3
"38",2010,5,2
"39",2010,8,1
"40",2010,9,2
"41",2010,10,1
"42",2010,11,1
"43",2011,3,1
"44",2011,5,2
"45",2011,6,4
"46",2011,8,1
"47",2011,9,1
"48",2011,11,2
"49",2011,12,2
"50",2012,4,2
"51",2012,5,1
"52",2012,6,7
"53",2012,7,4
"54",2012,9,5
"55",2012,10,1
"56",2013,1,7
"57",2013,3,2
"58",2013,4,7
"59",2013,5,8
"60",2013,6,1
"61",2013,7,2
"62",2013,8,1
"63",2013,11,11
"64",2013,12,18
"65",2014,1,2
"66",2014,2,3
"67",2014,5,1
"68",2014,7,1
"69",2014,10,1
"70",2014,11,2
"71",2014,12,4
"72",2015,1,1
"73",2015,2,2
"74",2015,3,10
"75",2015,5,2
"76",2015,11,7
"77",2016,1,3
"78",2016,4,1
"79",2016,5,1
"80",2016,6,1
"81",2016,8,1
"82",2016,12,3
"83",2017,1,1
"84",2017,2,6
"85",2017,3,3
"86",2017,5,2
"87",2017,6,6
"88",2017,8,8
"89",2017,9,10
"90",2017,10,11
"91",2017,11,9
"92",2017,12,7
"93",2018,1,3
"94",2018,2,2
"95",2018,3,5
"96",2018,4,5
